epoch,elapsed (s),Loss,IC,BC,F
0,0.19,3.3365e+00,3.2133e+00,1.6101e-33,1.2328e-01
100,16.99,2.2334e+00,2.2078e+00,2.2405e-33,2.5646e-02
200,33.52,1.0140e+00,9.9732e-01,1.9742e-32,1.6626e-02
300,49.90,2.3525e-01,2.0615e-01,6.1876e-32,2.9100e-02
400,66.22,5.8269e-02,4.6235e-02,6.4177e-32,1.2034e-02
500,82.54,2.9778e-02,2.1215e-02,5.7028e-32,8.5631e-03
600,98.82,2.5111e-02,2.0418e-02,5.2509e-32,4.6930e-03
700,115.51,2.0293e-02,1.7319e-02,6.9765e-32,2.9741e-03
800,131.96,1.6867e-02,1.4570e-02,1.5202e-31,2.2973e-03
900,148.28,2.3075e-02,2.1054e-02,7.6832e-32,2.0207e-03
1000,164.66,1.8917e-02,1.7091e-02,6.1958e-32,1.8255e-03
1100,182.55,1.9184e-02,1.7891e-02,7.3216e-32,1.2929e-03
1200,199.79,1.8720e-02,1.7366e-02,6.0972e-32,1.3543e-03
1300,216.51,1.7515e-02,1.6062e-02,8.2830e-32,1.4528e-03
1400,233.21,1.6017e-02,1.4563e-02,5.5960e-32,1.4543e-03
1500,249.81,1.4169e-02,1.2609e-02,7.4284e-32,1.5592e-03
1600,266.27,1.3757e-02,1.1902e-02,7.6503e-32,1.8549e-03
1700,282.91,1.0830e-02,8.6352e-03,9.9101e-32,2.1944e-03
1800,299.61,1.0954e-02,8.7033e-03,4.7825e-32,2.2505e-03
1900,316.15,9.9007e-03,7.6407e-03,1.2359e-31,2.2600e-03
2000,332.91,6.6967e-03,4.7111e-03,8.7186e-32,1.9857e-03
2100,349.55,3.9418e-03,2.5895e-03,1.1102e-31,1.3523e-03
2200,366.28,2.1829e-03,1.1491e-03,6.2287e-32,1.0338e-03
2300,382.94,1.3966e-03,6.4450e-04,8.9158e-32,7.5211e-04
2400,399.65,9.5697e-04,2.8983e-04,6.2041e-32,6.6714e-04
2500,416.29,6.6681e-04,1.4616e-04,9.7704e-32,5.2065e-04
2600,433.06,5.2116e-04,8.4791e-05,1.0395e-31,4.3637e-04
2700,450.10,5.0301e-04,8.4360e-05,1.2367e-31,4.1865e-04
2800,467.13,4.5429e-04,6.7566e-05,7.0094e-32,3.8673e-04
2900,484.35,3.4644e-04,4.1699e-05,1.1759e-31,3.0474e-04
3000,502.82,3.4459e-04,5.2336e-05,1.7289e-31,2.9225e-04
3100,520.27,2.6503e-04,5.6708e-05,6.3273e-32,2.0832e-04
3200,538.76,2.2283e-04,3.8118e-05,1.5695e-31,1.8471e-04
3300,557.61,2.2611e-04,4.2847e-05,1.2260e-31,1.8326e-04
3400,575.69,2.2024e-04,3.8252e-05,1.5679e-31,1.8199e-04
3500,593.71,2.0146e-04,3.1034e-05,7.4120e-32,1.7043e-04
3600,612.01,1.7110e-04,3.5749e-05,1.2268e-31,1.3535e-04
3700,629.62,1.8454e-04,3.2048e-05,1.2474e-31,1.5250e-04
3800,647.11,1.5388e-04,2.6000e-05,1.2170e-31,1.2788e-04
3900,664.70,1.3716e-04,2.1471e-05,9.0226e-32,1.1569e-04
