step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,73.45,1.774e+00,1.747e+00,2.715e-02,7.472e-01,1.000e+00,1.588e-07,2.613e-05
1000,146.48,1.756e+00,1.745e+00,1.132e-02,7.446e-01,1.000e+00,1.202e-07,2.237e-05
1500,750.65,1.737e+00,1.727e+00,1.023e-02,7.267e-01,1.000e+00,7.623e-08,2.542e-05
2000,823.62,1.618e+00,1.501e+00,1.167e-01,5.012e-01,1.000e+00,1.091e-06,5.130e-05
2500,2359.96,1.503e+00,1.500e+00,3.378e-03,4.999e-01,1.000e+00,6.595e-07,5.405e-05
3000,2433.73,1.502e+00,1.500e+00,2.410e-03,4.999e-01,1.000e+00,3.603e-07,3.792e-05
3500,2509.29,1.501e+00,1.500e+00,1.612e-03,4.999e-01,1.000e+00,1.598e-07,2.624e-05
4000,2583.99,1.501e+00,1.500e+00,1.234e-03,4.998e-01,1.000e+00,5.040e-08,2.259e-05
4500,2657.64,1.501e+00,1.500e+00,1.159e-03,4.998e-01,1.000e+00,1.020e-08,2.134e-05
5000,2959.00,1.501e+00,1.500e+00,1.334e-03,4.998e-01,1.000e+00,9.229e-09,2.072e-05
5500,3032.01,1.501e+00,1.500e+00,8.113e-04,4.997e-01,1.000e+00,2.583e-08,2.044e-05
6000,3232.59,1.500e+00,1.500e+00,5.239e-04,4.997e-01,1.000e+00,3.636e-08,2.008e-05
6500,3306.14,1.500e+00,1.500e+00,8.968e-04,4.996e-01,1.000e+00,4.279e-08,1.946e-05
7000,3873.80,1.500e+00,1.499e+00,2.962e-04,4.994e-01,1.000e+00,5.055e-08,1.851e-05
7500,4013.90,1.501e+00,1.499e+00,1.710e-03,4.994e-01,1.000e+00,5.003e-08,1.717e-05
8000,4088.94,1.499e+00,1.499e+00,1.600e-04,4.992e-01,1.000e+00,9.488e-08,1.590e-05
8500,4164.06,1.499e+00,1.499e+00,9.708e-05,4.991e-01,1.000e+00,2.270e-07,1.313e-05
9000,4237.62,1.499e+00,1.499e+00,1.677e-04,4.989e-01,1.000e+00,4.062e-07,1.134e-05
9500,4311.99,1.499e+00,1.499e+00,3.535e-04,4.988e-01,1.000e+00,8.932e-07,9.679e-06
10000,4385.18,1.499e+00,1.499e+00,2.898e-04,4.989e-01,1.000e+00,1.682e-06,8.982e-06
10500,4457.62,1.500e+00,1.498e+00,2.036e-03,4.984e-01,1.000e+00,1.619e-06,6.674e-06
11000,4530.45,1.503e+00,1.498e+00,4.205e-03,4.984e-01,1.000e+00,3.168e-06,5.946e-06
11500,4749.19,1.498e+00,1.498e+00,2.210e-04,4.983e-01,1.000e+00,4.795e-06,5.143e-06
12000,4824.49,1.498e+00,1.497e+00,1.132e-04,4.974e-01,1.000e+00,5.010e-06,3.489e-06
12500,4898.38,1.497e+00,1.497e+00,9.937e-05,4.967e-01,1.000e+00,7.793e-06,1.871e-06
13000,4993.07,1.496e+00,1.496e+00,9.311e-05,4.961e-01,1.000e+00,1.053e-05,1.585e-06
13500,5067.19,1.496e+00,1.495e+00,1.585e-03,4.946e-01,1.000e+00,1.512e-05,6.127e-07
14000,5218.64,1.492e+00,1.492e+00,1.236e-04,4.919e-01,1.000e+00,2.498e-05,2.261e-07
14500,6890.44,1.488e+00,1.487e+00,4.527e-04,4.872e-01,1.000e+00,5.685e-05,3.516e-08
15000,7646.74,1.492e+00,1.478e+00,1.373e-02,4.785e-01,9.996e-01,1.304e-04,4.676e-09
15500,7718.91,1.459e+00,1.458e+00,3.592e-04,4.621e-01,9.958e-01,2.081e-04,3.485e-10
