epoch,elapsed (s),Loss,IC,BC,F
0,0.11,4.437e+00,4.408e+00,1.086e-05,2.948e-02
1000,85.69,1.800e-02,1.676e-02,5.885e-05,1.186e-03
2000,177.71,1.526e-02,1.369e-02,5.921e-04,9.752e-04
3000,271.56,9.590e-03,6.764e-03,5.028e-04,2.323e-03
4000,365.70,6.230e-04,2.667e-04,2.923e-05,3.272e-04
5000,459.90,8.554e-05,3.361e-05,2.161e-06,4.977e-05
6000,554.04,3.649e-05,1.423e-05,1.649e-06,2.061e-05
7000,635.98,1.625e-05,7.008e-06,9.841e-07,8.259e-06
8000,717.27,8.874e-06,4.469e-06,5.202e-07,3.885e-06
9000,800.70,4.819e-06,2.712e-06,2.753e-07,1.832e-06
10000,887.10,2.344e-06,1.234e-06,1.190e-07,9.913e-07
11000,972.09,1.634e-06,7.254e-07,5.719e-08,8.518e-07
12000,1055.59,8.762e-07,4.635e-07,2.745e-08,3.853e-07
13000,1151.28,9.429e-07,4.994e-07,1.307e-08,4.304e-07
14000,1254.54,2.167e-07,1.011e-07,6.836e-09,1.087e-07
15000,1351.67,4.085e-07,2.983e-07,6.297e-09,1.039e-07
16000,1439.30,5.794e-07,3.174e-07,3.245e-09,2.588e-07
17000,1522.89,1.602e-07,4.794e-08,1.773e-09,1.105e-07
18000,1605.75,1.061e-06,5.844e-07,4.372e-09,4.725e-07
19000,1698.82,3.551e-06,2.230e-06,1.084e-09,1.319e-06
20000,1789.52,7.233e-08,3.629e-08,1.394e-09,3.465e-08
