Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,1,243,4.669187e-03,9.969292e-02,3.408031e-04
ii,2,243,3.072133e-03,2.672010e-01,2.562664e-04
ii,3,243,1.980489e-03,4.496418e-02,8.312240e-05
ii,4,243,2.294245e-03,4.391011e-02,5.778628e-05
ii,5,243,1.898228e-03,4.076776e-02,3.440523e-05
ii,6,243,2.088541e-03,3.884836e-02,1.249230e-04
