Model,Size,Trainable parameters,Loss,Density error,Pressure error
cc,10-4,845,3.615066e-06,1.425233e-01,1.233395e-04
cc,10-7,1505,1.088713e-05,1.245855e-01,1.043817e-04
cc,20-4,2845,8.343320e-05,1.418637e-01,1.038484e-03
