Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,1,222,6.889536e-03,1.300995e-01,2.036446e-03
ii,2,222,8.410520e-03,1.453766e-01,9.833438e-04
ii,3,222,5.482958e-03,1.415052e-01,1.535620e-03
ii,4,222,5.215685e-03,1.396786e-01,2.800674e-04
ii,5,222,4.981262e-03,1.393316e-01,1.383048e-04
ii,6,222,2.041747e-03,1.446569e-01,9.725834e-05
