epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.02,2.8405e+00,1.8648e+00,4.4691e-02,9.7125e+03
100,0.11,7.7683e-01,6.1453e-01,1.4867e-01,1.4744e+03
200,0.20,7.5632e-01,5.9289e-01,2.4560e-01,1.3887e+03
300,0.29,7.3458e-01,5.5607e-01,4.5335e-01,1.3318e+03
400,0.38,7.1868e-01,5.2427e-01,5.2955e-01,1.4145e+03
500,0.47,7.0015e-01,4.9278e-01,4.4320e-01,1.6305e+03
600,0.56,6.7115e-01,4.5551e-01,3.6331e-01,1.7931e+03
700,0.77,5.7369e-01,3.6939e-01,1.3839e-01,1.9045e+03
800,0.86,3.3423e-01,1.6737e-01,2.8764e-03,1.6657e+03
900,0.95,2.1623e-01,6.6051e-02,1.7435e-04,1.5016e+03
1000,1.04,1.9211e-01,4.9775e-02,3.1828e-05,1.4233e+03
1100,1.13,1.8430e-01,4.3903e-02,2.9325e-05,1.4040e+03
1200,1.22,1.7784e-01,4.0514e-02,1.9092e-05,1.3732e+03
1300,1.35,1.6983e-01,3.7827e-02,1.3734e-05,1.3200e+03
1400,1.44,1.5614e-01,3.5124e-02,1.3194e-05,1.2102e+03
1500,1.53,1.3213e-01,2.9221e-02,2.2416e-05,1.0290e+03
1600,1.61,1.0591e-01,2.2052e-02,1.9934e-05,8.3858e+02
1700,1.70,7.3341e-02,1.4226e-02,3.3935e-06,5.9114e+02
1800,1.79,5.1853e-02,7.3396e-03,2.7751e-05,4.4510e+02
