Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
cc,40-4,10628,9.522106e-02,9.456636e-02,6.546946e-04
cc,40-7,20468,2.456351e-02,2.456341e-02,1.009127e-07
cc,80-4,40388,2.456351e-02,2.456341e-02,1.056817e-07
