Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
ii,1,272,1.453627e+00,1.442754e+00,1.087287e-02
ii,2,272,1.437779e+00,1.433492e+00,4.287759e-03
ii,3,272,1.012129e+00,9.514187e-01,6.071042e-02
ii,4,272,1.247520e+00,1.231958e+00,1.556122e-02
ii,5,272,8.305607e-01,7.726885e-01,5.787217e-02
ii,6,272,5.916663e-01,4.159364e-01,1.757299e-01
