Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
cc,40-4,10408,1.819678e+03,1.819676e+03,2.046821e-03
cc,40-7,20248,1.819679e+03,1.819679e+03,5.279241e-06
cc,80-4,40008,1.819679e+03,1.819679e+03,2.656775e-04
