Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
ii,1,272,1.420000e+00,1.404000e+00,1.646000e-02
ii,2,272,1.373271e+00,1.358867e+00,1.440435e-02
ii,3,272,1.363151e+00,1.339948e+00,2.320330e-02
ii,4,272,1.413185e+00,1.394274e+00,1.891090e-02
ii,5,272,3.293032e-01,2.880152e-01,4.128806e-02
ii,6,272,1.308332e+00,1.275964e+00,3.236749e-02
