step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,80.22,1.818e+00,1.749e+00,6.896e-02,7.486e-01,1.000e+00,1.013e-06,9.829e-06
1000,160.98,1.767e+00,1.749e+00,1.821e-02,7.490e-01,1.000e+00,8.259e-07,3.375e-06
1500,239.33,1.756e+00,1.749e+00,6.770e-03,7.494e-01,1.000e+00,7.800e-07,1.210e-06
2000,322.98,1.752e+00,1.749e+00,2.876e-03,7.492e-01,1.000e+00,7.465e-07,4.643e-07
2500,401.72,1.751e+00,1.749e+00,1.284e-03,7.493e-01,1.000e+00,7.309e-07,1.586e-07
3000,475.67,1.750e+00,1.749e+00,8.096e-04,7.490e-01,1.000e+00,7.092e-07,6.162e-08
3500,556.09,1.749e+00,1.749e+00,4.037e-04,7.491e-01,1.000e+00,6.812e-07,5.494e-08
4000,646.92,1.749e+00,1.749e+00,4.269e-04,7.489e-01,1.000e+00,6.744e-07,3.968e-08
4500,725.72,1.749e+00,1.749e+00,4.481e-04,7.488e-01,1.000e+00,6.475e-07,5.554e-08
5000,803.21,1.749e+00,1.749e+00,8.575e-04,7.486e-01,1.000e+00,6.304e-07,7.827e-08
5500,882.39,1.749e+00,1.748e+00,6.333e-04,7.485e-01,1.000e+00,5.956e-07,7.225e-08
6000,961.66,1.749e+00,1.748e+00,5.560e-04,7.482e-01,1.000e+00,5.502e-07,9.951e-08
6500,1039.18,1.749e+00,1.748e+00,6.254e-04,7.479e-01,1.000e+00,5.014e-07,9.375e-08
7000,1112.80,1.748e+00,1.747e+00,1.331e-03,7.470e-01,1.000e+00,4.346e-07,2.271e-07
7500,1189.66,1.747e+00,1.744e+00,3.026e-03,7.443e-01,1.000e+00,3.899e-07,7.146e-07
8000,1267.50,1.735e+00,1.729e+00,6.417e-03,7.290e-01,1.000e+00,2.379e-07,5.544e-06
8500,1348.18,1.589e+00,1.571e+00,1.752e-02,5.712e-01,1.000e+00,5.701e-08,1.140e-04
9000,1446.27,1.520e+00,1.504e+00,1.627e-02,5.036e-01,1.000e+00,3.661e-08,3.279e-05
9500,1547.66,1.507e+00,1.502e+00,5.306e-03,5.017e-01,1.000e+00,3.398e-08,3.920e-05
10000,1643.43,1.501e+00,1.500e+00,1.202e-03,5.002e-01,1.000e+00,3.293e-08,2.480e-05
