step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,17.24,1.500e+00,1.500e+00,2.095e-04,5.002e-01,1.000e+00,1.827e-09,2.007e-05
1000,34.49,1.500e+00,1.500e+00,2.642e-04,4.999e-01,1.000e+00,7.761e-09,1.474e-05
1500,51.69,1.500e+00,1.500e+00,4.134e-05,4.998e-01,1.000e+00,4.745e-08,6.779e-06
2000,68.87,1.500e+00,1.500e+00,7.871e-05,4.999e-01,1.000e+00,3.197e-08,1.055e-05
2500,85.98,1.500e+00,1.500e+00,3.328e-05,4.998e-01,1.000e+00,9.817e-09,3.942e-06
3000,103.22,1.500e+00,1.500e+00,7.395e-05,4.999e-01,9.999e-01,1.176e-07,4.196e-06
3500,120.41,1.499e+00,1.499e+00,6.290e-05,4.994e-01,9.996e-01,2.338e-07,2.824e-06
4000,137.65,1.499e+00,1.498e+00,7.388e-05,4.994e-01,9.991e-01,2.908e-07,3.108e-06
4500,154.89,1.498e+00,1.498e+00,2.815e-05,4.993e-01,9.985e-01,6.112e-07,7.937e-06
5000,172.42,1.495e+00,1.495e+00,1.152e-04,4.987e-01,9.966e-01,1.214e-06,1.660e-06
5500,188.43,1.489e+00,1.487e+00,1.621e-03,4.968e-01,9.903e-01,3.058e-06,5.115e-08
6000,204.70,1.466e+00,1.466e+00,4.156e-05,4.928e-01,9.729e-01,1.269e-05,4.123e-09
6500,222.18,1.467e+00,1.467e+00,4.613e-05,4.938e-01,9.730e-01,9.740e-06,8.383e-09
7000,239.55,1.437e+00,1.437e+00,1.909e-04,4.893e-01,9.473e-01,1.450e-05,2.428e-08
7500,257.23,1.375e+00,1.375e+00,1.104e-04,4.835e-01,8.917e-01,2.093e-05,1.420e-08
8000,274.43,1.275e+00,1.216e+00,5.937e-02,4.789e-01,7.367e-01,5.000e-05,4.900e-09
8500,291.62,8.681e-01,8.675e-01,5.915e-04,4.794e-01,3.879e-01,1.437e-04,5.230e-10
9000,308.81,5.155e-01,5.152e-01,2.480e-04,4.060e-01,1.088e-01,4.656e-04,4.723e-11
9500,325.95,3.464e-01,3.462e-01,2.025e-04,3.184e-01,2.687e-02,9.220e-04,7.198e-12
10000,343.14,3.363e-01,3.356e-01,6.653e-04,3.129e-01,2.129e-02,1.362e-03,1.267e-13
10500,360.32,3.296e-01,3.294e-01,2.116e-04,3.090e-01,1.903e-02,1.365e-03,1.574e-13
11000,377.52,3.223e-01,3.222e-01,1.057e-04,3.041e-01,1.671e-02,1.378e-03,1.893e-13
11500,394.71,3.141e-01,3.140e-01,8.293e-05,2.983e-01,1.427e-02,1.392e-03,1.951e-13
12000,411.91,3.050e-01,3.049e-01,7.590e-05,2.918e-01,1.175e-02,1.408e-03,1.832e-13
12500,429.09,2.953e-01,2.952e-01,6.777e-05,2.845e-01,9.262e-03,1.424e-03,1.621e-13
13000,446.28,2.853e-01,2.853e-01,6.116e-05,2.769e-01,6.924e-03,1.447e-03,1.343e-13
13500,463.48,2.756e-01,2.755e-01,5.839e-05,2.692e-01,4.866e-03,1.476e-03,1.018e-13
14000,480.62,2.665e-01,2.665e-01,5.084e-05,2.618e-01,3.182e-03,1.503e-03,6.800e-14
14500,497.90,2.587e-01,2.586e-01,3.887e-05,2.552e-01,1.909e-03,1.533e-03,3.870e-14
15000,515.14,2.522e-01,2.522e-01,3.572e-05,2.496e-01,1.034e-03,1.549e-03,1.960e-14
15500,532.38,2.473e-01,2.473e-01,3.541e-05,2.452e-01,4.926e-04,1.558e-03,1.484e-14
16000,549.55,2.437e-01,2.437e-01,3.327e-05,2.419e-01,1.987e-04,1.535e-03,2.194e-14
16500,566.75,2.410e-01,2.410e-01,3.159e-05,2.394e-01,6.332e-05,1.511e-03,3.187e-14
17000,583.95,2.389e-01,2.389e-01,1.574e-05,2.374e-01,1.478e-05,1.498e-03,2.286e-14
17500,601.14,2.386e-01,2.367e-01,1.900e-03,2.352e-01,2.347e-06,1.469e-03,8.757e-15
18000,618.36,2.339e-01,2.339e-01,7.656e-06,2.325e-01,2.266e-08,1.385e-03,3.019e-15
18500,635.51,2.301e-01,2.301e-01,7.257e-06,2.288e-01,1.030e-06,1.312e-03,1.206e-15
19000,652.68,2.251e-01,2.251e-01,3.652e-06,2.239e-01,2.051e-06,1.181e-03,1.202e-15
19500,669.86,2.185e-01,2.185e-01,8.316e-06,2.173e-01,3.635e-06,1.125e-03,2.304e-15
20000,687.08,2.276e-01,2.273e-01,3.142e-04,2.253e-01,4.230e-05,2.001e-03,5.728e-15
20500,704.28,2.269e-01,2.267e-01,2.093e-04,2.247e-01,4.068e-05,1.957e-03,5.802e-15
21000,721.47,2.262e-01,2.261e-01,1.521e-04,2.241e-01,3.495e-05,1.951e-03,5.922e-15
21500,738.65,2.253e-01,2.252e-01,1.156e-04,2.232e-01,2.841e-05,1.916e-03,6.005e-15
22000,755.86,2.242e-01,2.241e-01,9.843e-05,2.222e-01,2.127e-05,1.914e-03,6.105e-15
22500,773.06,2.228e-01,2.227e-01,9.254e-05,2.208e-01,1.417e-05,1.865e-03,6.339e-15
23000,790.26,2.210e-01,2.210e-01,8.704e-05,2.191e-01,7.942e-06,1.795e-03,6.787e-15
23500,807.47,2.189e-01,2.188e-01,6.854e-05,2.170e-01,2.734e-06,1.772e-03,7.399e-15
24000,824.65,2.160e-01,2.160e-01,5.651e-05,2.144e-01,4.041e-07,1.616e-03,8.053e-15
24500,841.86,2.126e-01,2.126e-01,4.474e-05,2.110e-01,3.181e-07,1.581e-03,8.412e-15
25000,859.56,2.083e-01,2.082e-01,3.434e-05,2.068e-01,3.141e-06,1.484e-03,8.174e-15
25500,876.33,2.028e-01,2.027e-01,3.053e-05,2.013e-01,7.668e-06,1.382e-03,7.148e-15
26000,892.27,1.958e-01,1.957e-01,2.884e-05,1.945e-01,1.364e-05,1.251e-03,5.631e-15
26500,908.17,1.867e-01,1.867e-01,2.259e-05,1.857e-01,1.943e-05,9.929e-04,4.100e-15
27000,924.09,1.757e-01,1.757e-01,1.716e-05,1.744e-01,2.547e-05,1.258e-03,2.755e-15
27500,940.01,1.615e-01,1.613e-01,1.218e-04,1.600e-01,3.697e-05,1.249e-03,1.717e-15
28000,955.93,1.437e-01,1.437e-01,9.552e-06,1.417e-01,3.208e-05,1.926e-03,1.307e-15
28500,971.88,1.214e-01,1.214e-01,6.757e-06,1.186e-01,3.036e-05,2.733e-03,9.225e-16
29000,987.86,9.470e-02,9.458e-02,1.208e-04,9.087e-02,1.910e-05,3.691e-03,6.925e-16
29500,1003.90,6.805e-02,6.805e-02,2.546e-06,6.094e-02,1.462e-05,7.087e-03,2.554e-16
30000,1019.99,4.832e-02,4.831e-02,2.913e-06,3.525e-02,1.955e-05,1.305e-02,1.321e-18
30500,1036.10,3.266e-02,3.266e-02,2.543e-07,1.809e-02,2.898e-06,1.457e-02,1.355e-18
31000,1052.21,2.498e-02,2.498e-02,9.844e-08,8.473e-03,6.683e-07,1.651e-02,1.434e-18
31500,1068.35,2.949e-02,2.949e-02,5.200e-08,4.334e-03,9.653e-08,2.515e-02,1.460e-18
32000,1084.48,2.811e-02,2.811e-02,4.220e-08,2.868e-03,5.679e-09,2.524e-02,1.460e-18
32500,1100.63,2.462e-02,2.462e-02,3.572e-08,2.511e-03,5.661e-10,2.211e-02,1.444e-18
33000,1116.81,2.679e-02,2.679e-02,3.212e-08,2.437e-03,5.054e-10,2.435e-02,1.420e-18
33500,1132.98,2.462e-02,2.462e-02,3.083e-08,2.417e-03,1.681e-11,2.220e-02,1.391e-18
34000,1149.19,3.076e-02,3.076e-02,2.664e-08,2.400e-03,4.904e-09,2.836e-02,1.354e-18
