step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,9.47,1.548e+00,1.530e+00,1.845e-02,5.297e-01,1.000e+00,3.055e-08,7.106e-06
1000,19.21,1.500e+00,1.500e+00,3.404e-04,5.000e-01,9.999e-01,3.956e-09,4.424e-06
1500,28.79,1.500e+00,1.500e+00,9.030e-05,4.999e-01,9.997e-01,3.346e-08,3.285e-06
2000,37.68,1.500e+00,1.499e+00,7.343e-04,4.998e-01,9.995e-01,1.702e-09,1.695e-06
2500,45.91,1.499e+00,1.499e+00,3.792e-04,4.997e-01,9.994e-01,2.646e-09,8.279e-07
3000,54.11,1.499e+00,1.499e+00,6.821e-05,4.997e-01,9.994e-01,2.259e-08,5.474e-07
3500,62.42,1.499e+00,1.499e+00,1.250e-04,4.996e-01,9.993e-01,5.805e-09,4.080e-07
4000,70.33,1.499e+00,1.499e+00,5.278e-05,4.995e-01,9.992e-01,3.616e-08,2.373e-07
4500,77.98,1.499e+00,1.499e+00,5.296e-05,4.994e-01,9.991e-01,2.917e-08,3.979e-07
5000,85.84,1.498e+00,1.498e+00,3.559e-05,4.992e-01,9.989e-01,1.238e-07,5.239e-07
5500,93.53,1.498e+00,1.498e+00,3.398e-04,4.990e-01,9.987e-01,2.120e-07,1.773e-06
6000,101.44,1.498e+00,1.498e+00,2.303e-05,4.990e-01,9.985e-01,4.401e-07,8.796e-07
6500,109.59,2.084e+00,1.499e+00,5.849e-01,5.018e-01,9.976e-01,6.772e-07,3.634e-05
7000,117.42,1.504e+00,1.502e+00,1.118e-03,5.012e-01,1.001e+00,9.203e-07,7.815e-05
7500,125.28,1.502e+00,1.502e+00,1.325e-04,5.006e-01,1.001e+00,8.350e-07,7.236e-05
8000,133.03,1.501e+00,1.501e+00,3.533e-05,5.004e-01,1.001e+00,7.130e-07,6.131e-05
8500,140.75,1.501e+00,1.501e+00,2.154e-05,5.002e-01,1.000e+00,5.752e-07,4.377e-05
9000,148.73,1.500e+00,1.500e+00,3.401e-05,5.000e-01,9.998e-01,4.149e-07,2.205e-05
9500,157.84,1.499e+00,1.499e+00,4.580e-05,4.997e-01,9.993e-01,2.730e-07,8.633e-06
10000,165.59,1.498e+00,1.498e+00,4.765e-05,4.994e-01,9.988e-01,1.859e-07,2.772e-06
