step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
28500,7195.68,1.763e-01,1.763e-01,1.166e-05,1.756e-01,1.461e-05,6.997e-04,1.544e-16
29000,7213.70,1.551e-01,1.551e-01,3.356e-05,1.536e-01,9.095e-06,1.498e-03,6.010e-16
29500,7231.63,1.478e-01,1.476e-01,1.893e-04,1.464e-01,3.735e-06,1.183e-03,2.691e-17
30000,7250.06,1.423e-01,1.423e-01,7.702e-05,1.410e-01,5.952e-07,1.263e-03,2.076e-17
30500,7267.63,1.359e-01,1.359e-01,3.036e-05,1.343e-01,1.625e-07,1.664e-03,1.780e-17
31000,7285.56,1.282e-01,1.282e-01,1.294e-05,1.260e-01,2.763e-06,2.272e-03,1.659e-17
31500,7303.03,1.184e-01,1.184e-01,9.078e-06,1.159e-01,8.099e-06,2.519e-03,1.670e-17
32000,7320.04,1.071e-01,1.071e-01,7.582e-06,1.038e-01,1.475e-05,3.308e-03,1.741e-17
32500,7337.24,9.356e-02,9.355e-02,7.218e-06,8.972e-02,2.119e-05,3.808e-03,1.884e-17
33000,7354.35,7.892e-02,7.891e-02,6.712e-06,7.385e-02,2.461e-05,5.038e-03,2.075e-17
33500,7371.62,6.418e-02,6.417e-02,6.344e-06,5.689e-02,2.443e-05,7.261e-03,2.382e-17
34000,7388.95,4.979e-02,4.979e-02,5.702e-06,4.017e-02,1.866e-05,9.604e-03,2.783e-17
34500,7407.25,4.035e-02,4.035e-02,4.775e-06,2.550e-02,1.000e-05,1.484e-02,3.244e-17
35000,7425.66,3.334e-02,3.333e-02,3.841e-06,1.447e-02,4.844e-06,1.886e-02,3.659e-17
35500,7442.97,2.577e-02,2.576e-02,1.325e-05,7.701e-03,3.504e-06,1.805e-02,3.922e-17
36000,7461.04,2.581e-02,2.581e-02,1.910e-06,4.357e-03,5.331e-07,2.146e-02,3.923e-17
36500,7478.76,2.812e-02,2.812e-02,2.387e-06,2.992e-03,3.008e-07,2.513e-02,3.641e-17
37000,7496.68,2.730e-02,2.730e-02,6.984e-06,2.571e-03,1.207e-06,2.473e-02,3.344e-17
37500,7513.68,2.676e-02,2.676e-02,5.037e-06,2.463e-03,2.714e-07,2.429e-02,2.861e-17
38000,7530.85,2.533e-02,2.533e-02,1.969e-06,2.447e-03,4.188e-07,2.289e-02,2.494e-17
38500,7549.22,1.828e-02,1.828e-02,3.556e-07,2.457e-03,6.129e-07,1.583e-02,1.483e-17
39000,7566.68,3.028e-02,3.028e-02,2.024e-07,2.428e-03,1.718e-09,2.786e-02,9.528e-18
39500,7585.17,2.354e-02,2.354e-02,1.745e-07,2.381e-03,9.534e-09,2.116e-02,4.494e-18
40000,7602.17,2.349e-02,2.349e-02,5.331e-07,2.436e-03,4.681e-06,2.105e-02,2.088e-18
40000,7621.76,2.456e-02,2.456e-02,1.057e-07,2.413e-03,1.363e-14,2.215e-02,2.145e-18
