step,elapsed (s),Loss,BC,F
500,53.89,3.895e+04,3.895e+04,3.989e+00
1000,105.77,3.861e+04,3.861e+04,2.026e+00
1500,157.63,3.760e+04,3.760e+04,2.053e+00
2000,210.11,3.576e+04,3.576e+04,4.506e-01
2500,262.64,3.345e+04,3.344e+04,3.645e+00
3000,466.13,3.103e+04,3.103e+04,2.263e+00
3500,523.45,2.858e+04,2.858e+04,1.335e+00
4000,582.12,2.610e+04,2.610e+04,4.753e-01
4500,636.11,2.394e+04,2.394e+04,2.552e-01
5000,686.34,2.211e+04,2.211e+04,2.184e-01
5500,737.63,2.082e+04,2.082e+04,1.796e-01
6000,788.87,1.967e+04,1.967e+04,2.027e-01
6500,840.24,1.987e+04,1.986e+04,5.416e+00
7000,890.83,7.955e+04,7.944e+04,1.166e+02
7500,942.20,1.771e+04,1.771e+04,4.458e-02
8000,993.25,1.747e+04,1.747e+04,3.151e-02
8500,1044.43,1.729e+04,1.729e+04,2.543e-02
9000,1095.40,1.712e+04,1.712e+04,8.585e-02
9500,1146.18,1.624e+04,1.624e+04,2.451e-02
10000,1269.13,1.617e+04,1.617e+04,2.163e-02
10500,1320.03,1.609e+04,1.609e+04,1.927e-02
11000,1370.95,1.526e+04,1.526e+04,1.580e-02
11500,1813.34,1.525e+04,1.525e+04,1.001e-02
12000,1864.93,1.521e+04,1.521e+04,1.254e-02
12500,1916.27,1.441e+04,1.441e+04,7.403e-03
13000,1967.69,1.442e+04,1.442e+04,9.546e-03
13500,2018.37,1.443e+04,1.443e+04,4.897e-03
14000,2069.63,1.457e+04,1.457e+04,1.180e-01
14500,2179.38,1.376e+04,1.376e+04,3.001e-03
15000,2230.31,1.383e+04,1.383e+04,4.092e-03
15500,2281.50,1.533e+04,1.533e+04,1.971e-02
16000,2548.11,1.321e+04,1.321e+04,1.530e-03
16500,2599.52,1.331e+04,1.331e+04,9.675e-04
17000,2652.40,1.343e+04,1.343e+04,2.090e-03
17500,2705.28,1.276e+04,1.276e+04,1.273e-03
18000,2757.94,1.291e+04,1.291e+04,4.507e-04
18500,2810.93,1.302e+04,1.302e+04,2.401e-03
19000,2862.85,1.240e+04,1.240e+04,1.701e-04
19500,2914.84,1.251e+04,1.251e+04,1.612e-04
20000,2966.46,1.261e+04,1.261e+04,1.210e-03
20500,3016.84,1.204e+04,1.204e+04,7.539e-04
21000,3067.48,1.217e+04,1.217e+04,2.443e-04
21500,3119.38,1.228e+04,1.228e+04,4.777e-04
22000,3172.38,1.171e+04,1.171e+04,2.323e-04
22500,3224.24,1.186e+04,1.186e+04,2.336e-04
23000,3275.58,1.180e+04,1.180e+04,9.601e-05
23500,3327.25,1.185e+04,1.185e+04,1.003e-04
24000,3378.92,1.194e+04,1.194e+04,4.877e-04
24500,3431.02,1.134e+04,1.134e+04,1.832e-04
25000,3483.67,1.151e+04,1.151e+04,8.350e-05
25500,3535.79,1.166e+04,1.166e+04,4.574e-04
26000,3588.29,1.112e+04,1.112e+04,2.776e-04
26500,3640.98,1.127e+04,1.127e+04,9.981e-05
27000,3692.98,1.141e+04,1.141e+04,6.683e-04
27500,3744.90,1.359e+04,1.359e+04,4.388e-03
28000,3797.11,1.112e+04,1.112e+04,2.018e-04
28500,3849.76,1.132e+04,1.132e+04,1.235e-03
29000,3902.18,1.126e+04,1.126e+04,6.704e-02
29500,3954.03,1.100e+04,1.100e+04,2.142e-04
30000,4006.32,1.121e+04,1.121e+04,2.158e-03
30500,4058.94,1.175e+04,1.175e+04,3.096e-03
31000,4112.29,1.091e+04,1.091e+04,9.157e-05
31500,4164.13,1.122e+04,1.122e+04,4.240e-04
32000,4216.51,1.139e+04,1.139e+04,4.132e-04
32500,4268.37,1.066e+04,1.066e+04,2.601e-04
33000,4319.63,1.095e+04,1.095e+04,3.978e-04
33500,4371.57,1.123e+04,1.123e+04,5.499e-04
34000,4424.61,1.066e+04,1.066e+04,1.154e-04
34500,4478.48,1.078e+04,1.078e+04,1.218e-04
35000,4530.89,1.122e+04,1.122e+04,2.202e-04
35500,4583.06,1.053e+04,1.053e+04,5.683e-05
36000,4634.23,1.055e+04,1.055e+04,1.327e-04
36500,4685.35,1.081e+04,1.081e+04,2.298e-04
37000,4736.84,1.097e+04,1.097e+04,1.429e-04
37500,4789.40,1.119e+04,1.119e+04,5.266e-04
38000,4841.71,1.045e+04,1.045e+04,2.547e-04
38500,4894.37,1.088e+04,1.088e+04,1.055e-02
39000,4946.36,1.099e+04,1.099e+04,1.091e-03
39500,4998.71,1.033e+04,1.033e+04,2.961e-04
40000,5050.89,1.064e+04,1.064e+04,5.701e-04
40000,5294.38,1.820e+03,1.820e+03,2.657e-04
