step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,423.21,1.854e+00,1.749e+00,1.054e-01,7.485e-01,1.000e+00,5.634e-08,2.827e-06
1000,844.17,1.777e+00,1.749e+00,2.801e-02,7.487e-01,1.000e+00,5.417e-08,3.668e-06
1500,1259.89,1.766e+00,1.749e+00,1.744e-02,7.490e-01,1.000e+00,5.017e-08,3.251e-06
2000,1677.35,1.761e+00,1.749e+00,1.155e-02,7.491e-01,1.000e+00,4.645e-08,2.974e-06
2500,2085.32,1.756e+00,1.749e+00,7.276e-03,7.492e-01,1.000e+00,4.774e-08,2.788e-06
3000,2497.36,1.754e+00,1.749e+00,5.161e-03,7.492e-01,1.000e+00,4.384e-08,2.717e-06
3500,2896.04,1.753e+00,1.749e+00,3.645e-03,7.491e-01,1.000e+00,4.428e-08,2.689e-06
4000,3296.65,1.752e+00,1.749e+00,2.976e-03,7.489e-01,1.000e+00,4.304e-08,2.676e-06
4500,3743.11,1.751e+00,1.749e+00,2.426e-03,7.488e-01,1.000e+00,4.342e-08,2.607e-06
5000,4146.25,1.751e+00,1.749e+00,2.017e-03,7.485e-01,1.000e+00,4.432e-08,2.538e-06
5500,4552.64,1.750e+00,1.748e+00,1.758e-03,7.483e-01,1.000e+00,4.156e-08,2.485e-06
6000,4964.17,1.749e+00,1.748e+00,1.775e-03,7.477e-01,1.000e+00,4.017e-08,2.496e-06
6500,5377.87,1.748e+00,1.747e+00,1.735e-03,7.467e-01,1.000e+00,4.192e-08,2.488e-06
7000,5784.58,1.747e+00,1.745e+00,2.421e-03,7.446e-01,1.000e+00,4.297e-08,2.376e-06
7500,6190.70,1.742e+00,1.738e+00,3.731e-03,7.382e-01,1.000e+00,4.799e-08,5.525e-06
8000,6600.78,1.597e+00,1.592e+00,5.189e-03,5.915e-01,1.000e+00,7.536e-08,3.169e-04
8500,7014.62,1.509e+00,1.506e+00,3.539e-03,5.049e-01,1.000e+00,3.963e-07,9.345e-04
9000,7423.88,1.503e+00,1.502e+00,1.880e-03,5.008e-01,1.000e+00,5.723e-07,7.376e-04
9500,7838.43,1.502e+00,1.501e+00,1.055e-03,5.005e-01,1.000e+00,6.364e-07,5.036e-04
10000,8250.48,1.501e+00,1.501e+00,6.683e-04,5.004e-01,1.000e+00,6.351e-07,3.434e-04
10500,8666.90,1.501e+00,1.501e+00,3.635e-04,5.004e-01,1.000e+00,5.693e-07,2.341e-04
11000,9079.23,1.501e+00,1.500e+00,2.723e-04,5.003e-01,1.000e+00,4.904e-07,1.613e-04
11500,9489.60,1.501e+00,1.500e+00,4.565e-04,5.002e-01,1.000e+00,4.246e-07,1.122e-04
12000,9900.87,1.500e+00,1.500e+00,1.700e-04,5.002e-01,1.000e+00,3.532e-07,8.080e-05
12500,10317.76,1.500e+00,1.500e+00,1.288e-04,5.001e-01,1.000e+00,2.910e-07,6.051e-05
13000,10736.67,1.500e+00,1.500e+00,1.005e-04,5.001e-01,1.000e+00,2.205e-07,4.747e-05
13500,11149.72,1.500e+00,1.500e+00,1.005e-04,5.000e-01,1.000e+00,1.746e-07,3.829e-05
14000,11562.98,1.502e+00,1.500e+00,1.954e-03,5.000e-01,1.000e+00,9.501e-08,3.168e-05
14500,11978.07,1.500e+00,1.500e+00,1.552e-04,4.999e-01,1.000e+00,6.552e-08,2.716e-05
15000,12410.62,1.500e+00,1.500e+00,6.265e-05,4.998e-01,1.000e+00,3.157e-08,2.429e-05
15500,12826.65,1.500e+00,1.500e+00,6.569e-05,4.997e-01,1.000e+00,1.364e-08,2.129e-05
16000,13250.25,1.500e+00,1.500e+00,5.336e-04,4.996e-01,1.000e+00,1.879e-08,1.880e-05
