epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,5.79,1.1595e+01,9.9926e-01,1.6843e-06,1.0596e+05
100,629.24,4.9648e+00,4.4608e-01,7.0026e-06,4.5187e+04
200,1486.76,1.0999e+00,5.1855e-02,2.9289e-02,1.0451e+04
300,2069.81,2.2336e-01,2.1722e-03,2.9251e-03,2.2090e+03
400,2645.61,8.7724e-02,1.1046e-02,4.6301e-04,7.6631e+02
500,3228.62,4.7219e-02,9.4720e-03,2.6794e-04,3.7720e+02
600,3807.96,3.3843e-02,6.9004e-03,1.7736e-04,2.6925e+02
700,4397.88,2.7461e-02,4.7835e-03,1.0998e-04,2.2666e+02
800,5440.46,2.3196e-02,3.3380e-03,7.0511e-05,1.9851e+02
900,6035.72,1.9860e-02,2.4208e-03,5.0277e-05,1.7434e+02
1000,6615.15,1.7083e-02,1.8334e-03,4.0350e-05,1.5246e+02
1100,7197.21,1.4740e-02,1.4396e-03,3.5411e-05,1.3297e+02
1200,7782.59,1.2771e-02,1.1602e-03,3.2593e-05,1.1608e+02
1300,8367.24,1.1129e-02,9.5131e-04,3.0381e-05,1.0174e+02
1400,8950.89,9.7560e-03,7.8877e-04,2.8079e-05,8.9644e+01
1500,9534.34,8.5995e-03,6.5916e-04,2.5512e-05,7.9378e+01
1600,10131.23,7.6126e-03,5.5458e-04,2.2776e-05,7.0558e+01
1700,10725.90,6.7596e-03,4.6976e-04,2.0053e-05,6.2879e+01
1800,11316.23,6.0149e-03,4.0070e-04,1.7495e-05,5.6124e+01
