epoch,elapsed (s),Loss,IC,BC,F
0,0.02,3.428e+00,3.401e+00,6.789e-03,2.014e-02
1000,2.56,1.596e-02,1.349e-02,1.935e-03,5.323e-04
2000,5.16,1.249e-02,9.493e-03,2.564e-03,4.359e-04
3000,7.71,7.841e-03,4.590e-03,2.499e-03,7.513e-04
4000,10.25,4.368e-03,1.545e-03,1.724e-03,1.100e-03
5000,12.80,2.764e-03,7.737e-04,1.187e-03,8.030e-04
6000,15.34,2.418e-03,5.805e-04,1.162e-03,6.752e-04
7000,17.92,2.448e-03,8.422e-04,1.106e-03,4.997e-04
8000,20.48,1.687e-03,3.291e-04,9.093e-04,4.485e-04
9000,23.03,1.290e-03,2.240e-04,7.385e-04,3.278e-04
10000,25.59,1.034e-03,1.705e-04,5.457e-04,3.179e-04
11000,28.14,8.445e-04,1.762e-04,4.445e-04,2.238e-04
12000,30.77,6.437e-04,5.777e-05,4.351e-04,1.509e-04
13000,33.33,4.143e-04,2.549e-05,3.176e-04,7.121e-05
14000,35.89,2.211e-04,2.837e-05,1.553e-04,3.743e-05
15000,38.43,1.637e-04,2.836e-05,1.089e-04,2.645e-05
16000,40.97,1.317e-04,2.315e-05,8.015e-05,2.842e-05
17000,43.51,1.346e-04,3.496e-05,8.258e-05,1.705e-05
18000,46.05,1.079e-04,2.397e-05,6.582e-05,1.807e-05
19000,48.61,8.209e-05,2.493e-05,4.197e-05,1.519e-05
20000,51.14,8.876e-05,1.718e-05,4.807e-05,2.351e-05
