epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.12,1.4156e+00,8.9273e-01,7.5970e-01,4.4688e+03
100,9.66,5.5713e-01,3.5038e-01,1.1557e-01,1.9519e+03
200,19.23,4.3021e-01,2.3805e-01,4.3569e-02,1.8780e+03
300,28.76,2.5900e-01,1.0818e-01,1.0045e-02,1.4982e+03
400,38.41,1.1637e-01,3.7353e-02,1.8295e-03,7.8830e+02
500,48.08,6.9438e-02,1.2656e-02,2.5684e-03,5.6525e+02
600,57.68,5.9462e-02,8.0320e-03,1.9062e-04,5.1411e+02
700,67.55,5.3154e-02,6.4553e-03,1.2457e-04,4.6687e+02
800,77.04,4.7828e-02,5.5072e-03,9.2031e-04,4.2228e+02
900,86.57,4.2675e-02,4.8713e-03,7.6508e-05,3.7796e+02
1000,96.14,3.7930e-02,4.2585e-03,5.5105e-05,3.3666e+02
1100,105.58,3.3571e-02,3.6628e-03,6.3186e-05,2.9902e+02
1200,115.39,2.9550e-02,3.1272e-03,2.5460e-05,2.6420e+02
1300,125.53,2.5972e-02,2.6278e-03,3.9403e-06,2.3343e+02
1400,134.86,2.2825e-02,2.1989e-03,9.5020e-06,2.0625e+02
1500,144.13,2.0145e-02,1.8288e-03,3.4564e-04,1.8282e+02
1600,153.46,1.7836e-02,1.5009e-03,2.3067e-06,1.6335e+02
1700,162.83,1.5968e-02,1.2307e-03,4.5704e-04,1.4692e+02
1800,172.19,1.4366e-02,1.0105e-03,1.0027e-07,1.3355e+02
