epoch,elapsed time (s),Loss,IC_u,IC_du,PDE
0,0.08,9.1503e-01,8.7899e-01,3.1885e-02,3.2850e+02
100,4.98,6.4163e-01,4.6303e-01,1.2187e-01,1.6641e+03
200,9.76,3.6651e-01,2.0305e-01,2.3458e-02,1.6111e+03
300,14.50,1.5050e-01,4.8340e-02,1.1727e-02,1.0099e+03
400,19.40,6.6816e-02,1.0342e-02,6.4993e-04,5.6409e+02
500,24.32,4.9816e-02,6.4472e-03,6.3229e-04,4.3305e+02
600,29.87,3.5064e-02,4.3629e-03,1.8721e-04,3.0682e+02
700,35.13,2.3828e-02,2.4659e-03,1.7701e-05,2.1360e+02
800,39.91,1.6834e-02,1.3837e-03,5.4753e-05,1.5445e+02
900,44.89,1.2982e-02,7.2566e-04,8.7076e-05,1.2248e+02
1000,49.65,1.1063e-02,5.5593e-04,2.1076e-05,1.0505e+02
1100,54.56,9.9424e-03,3.0084e-04,7.1799e-05,9.6344e+01
1200,59.27,9.2795e-03,1.7264e-04,1.2262e-06,9.1067e+01
1300,64.09,1.0267e-02,1.6601e-04,1.1843e-02,8.9163e+01
1400,68.83,8.4082e-03,9.8961e-05,6.2951e-06,8.3086e+01
1500,73.54,8.3603e-03,1.0462e-04,3.5142e-03,7.9042e+01
1600,78.33,8.5793e-03,1.0102e-04,7.4374e-03,7.7345e+01
1700,83.49,7.2073e-03,7.1452e-05,1.0678e-06,7.1357e+01
1800,88.69,6.7941e-03,6.6402e-05,2.0832e-07,6.7277e+01
