epoch,elapsed (s),Loss,IC,BC,F
0,0.02,1.589e+00,1.589e+00,2.993e-06,6.191e-06
1000,11.14,2.049e-02,2.002e-02,6.233e-05,4.046e-04
2000,23.87,1.047e-02,6.874e-03,2.191e-03,1.404e-03
3000,35.44,4.332e-03,1.211e-03,2.018e-03,1.102e-03
4000,255.65,3.109e-03,1.054e-03,1.250e-03,8.055e-04
5000,266.85,9.982e-04,1.534e-04,7.203e-04,1.244e-04
6000,277.38,3.692e-04,8.972e-05,2.203e-04,5.909e-05
7000,287.84,2.489e-04,8.114e-05,1.335e-04,3.427e-05
8000,298.77,8.180e-05,2.360e-05,4.870e-05,9.495e-06
9000,309.55,2.159e-05,8.441e-06,1.117e-05,1.983e-06
10000,320.50,1.363e-05,9.209e-06,3.635e-06,7.860e-07
11000,331.76,6.998e-06,4.034e-06,2.494e-06,4.694e-07
12000,342.92,4.764e-06,2.006e-06,2.333e-06,4.261e-07
13000,354.07,1.567e-05,1.218e-05,3.102e-06,3.887e-07
14000,365.43,3.197e-06,2.357e-06,5.356e-07,3.043e-07
15000,376.54,1.543e-05,1.253e-05,2.439e-06,4.526e-07
16000,387.76,5.405e-06,4.057e-06,1.154e-06,1.944e-07
17000,398.78,1.419e-06,9.125e-07,2.885e-07,2.183e-07
18000,410.01,1.718e-06,9.412e-07,6.394e-07,1.376e-07
19000,421.41,4.558e-06,1.753e-06,2.595e-06,2.104e-07
20000,432.89,1.809e-06,1.315e-06,4.120e-07,8.248e-08
