Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,1,243,7.525886e-07,3.964712e-04,1.258805e-04
ii,2,243,1.389686e-06,9.273659e-04,1.247302e-04
ii,3,243,2.593843e-07,6.302454e-05,4.755682e-05
ii,4,243,1.465841e-07,1.999927e-04,4.878211e-05
ii,5,243,8.987996e-08,1.223243e-04,5.922536e-05
ii,6,243,9.782827e-06,9.589306e-04,4.833439e-05
