epoch,elapsed (s),Loss,IC,BC,F
0,0.17,9.954e+00,3.342e+00,5.910e+00,7.018e-01
1000,171.34,9.831e-02,5.761e-02,1.027e-02,3.043e-02
2000,742.57,4.995e-02,3.164e-02,8.294e-03,1.001e-02
3000,901.83,3.980e-02,2.407e-02,7.685e-03,8.038e-03
4000,1157.46,3.051e-02,1.779e-02,6.389e-03,6.330e-03
5000,1317.75,1.982e-02,1.171e-02,4.074e-03,4.038e-03
6000,1477.93,1.460e-02,7.849e-03,3.058e-03,3.688e-03
7000,1682.76,1.142e-02,6.424e-03,2.761e-03,2.238e-03
8000,1847.68,1.001e-02,6.046e-03,2.522e-03,1.446e-03
9000,2007.15,9.275e-03,5.870e-03,2.176e-03,1.229e-03
10000,2407.45,8.514e-03,5.633e-03,1.910e-03,9.711e-04
11000,2601.96,7.702e-03,5.300e-03,1.570e-03,8.315e-04
12000,2760.69,7.111e-03,4.846e-03,1.365e-03,8.994e-04
13000,2919.95,6.713e-03,4.530e-03,1.209e-03,9.749e-04
14000,3078.65,6.427e-03,4.301e-03,1.143e-03,9.823e-04
15000,3239.13,6.416e-03,4.196e-03,9.971e-04,1.223e-03
16000,3399.42,6.128e-03,4.078e-03,9.233e-04,1.126e-03
17000,3919.45,5.734e-03,3.877e-03,9.238e-04,9.331e-04
18000,4080.48,5.663e-03,3.778e-03,7.850e-04,1.101e-03
19000,4297.03,5.526e-03,3.552e-03,8.499e-04,1.124e-03
20000,4457.19,5.483e-03,3.547e-03,7.264e-04,1.209e-03
