epoch,elapsed (s),Loss,IC,BC,F
0,0.18,1.614e+00,1.594e+00,2.604e-33,1.998e-02
1000,172.83,2.112e-02,1.912e-02,4.076e-32,1.995e-03
2000,345.93,1.190e-02,1.010e-02,3.344e-32,1.799e-03
3000,519.27,1.277e-03,5.016e-04,3.386e-32,7.757e-04
4000,693.33,3.024e-04,1.323e-04,4.511e-32,1.700e-04
5000,867.31,1.360e-04,6.299e-05,3.624e-32,7.298e-05
6000,1040.49,5.391e-05,2.015e-05,4.856e-32,3.375e-05
7000,1214.39,2.120e-05,6.145e-06,4.248e-32,1.506e-05
8000,1387.08,7.866e-06,8.158e-07,4.273e-32,7.050e-06
9000,1560.71,4.211e-06,3.743e-07,3.213e-32,3.836e-06
10000,1734.01,2.736e-06,3.143e-07,5.243e-32,2.422e-06
11000,1907.70,1.977e-06,2.434e-07,4.865e-32,1.734e-06
12000,2081.22,1.107e-06,1.625e-07,4.281e-32,9.446e-07
13000,2257.44,9.282e-07,2.817e-07,4.429e-32,6.466e-07
14000,2431.37,6.573e-07,1.523e-07,4.372e-32,5.050e-07
15000,2604.79,4.327e-07,1.267e-07,3.361e-32,3.061e-07
16000,2777.85,5.072e-07,1.386e-07,4.109e-32,3.685e-07
17000,2951.22,2.950e-07,8.544e-08,4.289e-32,2.096e-07
18000,3126.06,2.641e-07,8.669e-08,5.489e-32,1.774e-07
19000,3300.14,1.928e-07,6.322e-08,4.528e-32,1.296e-07
20000,3473.37,1.466e-07,4.620e-08,4.322e-32,1.004e-07
