epoch,elapsed (s),Loss,IC,BC,F
0,0.22,8.125e+00,3.142e+00,4.939e+00,4.434e-02
1000,186.42,5.184e-02,4.305e-02,5.371e-03,3.419e-03
2000,352.57,3.325e-02,2.627e-02,3.165e-03,3.816e-03
3000,511.65,2.201e-02,1.604e-02,1.854e-03,4.110e-03
4000,674.66,1.638e-02,1.019e-02,1.176e-03,5.011e-03
5000,840.61,1.300e-02,8.144e-03,1.193e-03,3.660e-03
6000,1003.96,1.296e-02,7.797e-03,1.305e-03,3.856e-03
7000,1167.18,1.056e-02,7.675e-03,1.217e-03,1.672e-03
8000,1332.62,1.009e-02,7.510e-03,1.026e-03,1.553e-03
9000,1495.99,9.243e-03,7.389e-03,7.190e-04,1.135e-03
10000,1662.71,8.980e-03,7.307e-03,5.880e-04,1.086e-03
11000,1830.03,8.607e-03,7.222e-03,4.610e-04,9.237e-04
12000,1995.55,8.600e-03,7.212e-03,4.117e-04,9.763e-04
13000,2160.43,8.430e-03,7.184e-03,3.736e-04,8.716e-04
14000,2329.76,8.130e-03,7.117e-03,3.556e-04,6.568e-04
15000,2494.46,7.833e-03,7.005e-03,2.957e-04,5.326e-04
16000,2656.90,7.522e-03,6.867e-03,2.877e-04,3.668e-04
17000,2822.34,6.372e-03,5.447e-03,2.615e-04,6.634e-04
18000,2986.39,5.565e-03,4.587e-03,1.391e-04,8.386e-04
19000,3149.53,5.020e-03,4.036e-03,1.163e-04,8.678e-04
20000,3311.60,4.237e-03,3.436e-03,1.130e-04,6.883e-04
