Date,DP,EP,MKT,SMB,HML,TB,DEF,IP,INF,RV,STR,RV_q,RV_a,RV1,RV2
1950-01-31,0.900473933649289,0.9208480565371024,0.2679206914082357,0.06483402489626555,-0.08169014084507065,0.06507059545733579,0.11437908496732056,0.0,0.0,-0.6333126217986882,-0.005188067444876876,0.0,0.0,0.0,0.0
1950-02-28,0.8894154818325434,0.9088339222614841,0.2567361464158615,-0.10632780082987559,-0.15492957746478875,0.06813996316758748,0.11111111111111134,0.003840662478583612,0.004253509145044632,-0.7431696814020756,0.02204928664072625,0.0,0.0,-0.6333126217986882,0.0
1950-03-31,0.8894154818325434,0.9081272084805653,0.24555160142348753,-0.18257261410788383,-0.31750503018108667,0.06813996316758748,0.11111111111111134,0.03249939552546621,0.0012706480304955914,-0.7255799767510609,0.011024643320363126,0.0,0.0,-0.7431696814020756,-0.6333126217986882
1950-04-30,0.8688783570300158,0.9038869257950529,0.38179969496695465,-0.007261410788381717,0.01327967806841035,0.06998158379373849,0.1013071895424838,0.033336088381960005,0.0004230118443315778,-0.6720149576947498,0.07911802853437089,-0.8196585936046574,0.0,-0.7255799767510609,-0.7431696814020756
1950-05-31,0.8436018957345971,0.8946996466431095,0.40061006609049277,-0.21680497925311215,-0.05432595573440646,0.07059545733578883,0.10457516339869304,0.023295651478390633,0.0050739957716703366,-0.6724670433900575,-0.11608300907911806,-0.8296603724710823,0.0,-0.6720149576947498,-0.7255799767510609
1950-06-30,0.8357030015797788,0.9003533568904594,-0.12048805287239472,-0.2292531120331951,-0.14768611670020126,0.06998158379373849,0.11111111111111119,0.02977404037180098,0.00462768195204033,-0.3722112369552282,0.011673151750972721,-0.8113888099336634,0.0,-0.6724670433900575,-0.6720149576947498
1950-07-31,0.9541864139020537,1.0,0.25063548551093007,-0.07209543568464738,1.0,0.07059545733578883,0.11437908496732041,0.03230989158348829,0.007956448911222935,-0.4574175802797138,-0.00907911802853445,-0.7200683272827757,0.0,-0.3722112369552282,-0.6724670433900575
1950-08-31,0.9273301737756714,0.9625441696113073,0.4280630401626839,-0.06846473029045641,-0.21207243460764602,0.07305095150399017,0.09803921568627473,0.031304763422016935,0.00540091400083087,-0.6112780853752762,0.28404669260700377,-0.6646102918819123,0.0,-0.4574175802797138,-0.3722112369552282
1950-09-30,0.9257503949447077,0.9505300353356889,0.426029486527707,-0.08246887966804994,-0.17746478873239446,0.07918968692449356,0.08169934640522888,-0.006392927378483737,0.005785123966942196,-0.5970051377828858,-0.027237354085603238,-0.648797333491639,0.0,-0.6112780853752762,-0.4574175802797138
1950-10-31,0.919431279620853,0.9243816254416961,0.17234367056431088,-0.13226141078838172,0.01327967806841035,0.0798035604665439,0.07516339869281073,0.006434059855891183,0.006573541495480617,-0.5547987593294792,0.12775616083009078,-0.7068904391025604,0.0,-0.5970051377828858,-0.6112780853752762
1950-11-30,0.9589257503949447,0.9406360424028267,0.32180986273512957,-0.1540456431535271,0.1766599597585512,0.08287292817679559,0.07516339869281073,-0.0015982318446208232,0.004081632653061273,-0.48768541006343824,0.016861219195849486,-0.7320564916432442,0.0,-0.5547987593294792,-0.5970051377828858
1950-12-31,1.0,0.9590106007067137,0.46314184036603945,-0.0316390041493777,0.5010060362173037,0.08164518109269492,0.06862745098039243,0.01760274217159985,0.015447154471544655,-0.4605652404309666,-0.4202334630350194,-0.7001166466866343,0.0,-0.48768541006343824,-0.5547987593294792
1951-01-31,0.9320695102685623,0.8876325088339222,0.4712760549059478,-0.016597510373444035,0.20160965794768604,0.08164518109269492,0.062091503267973976,0.003140350877192999,0.01601281024819845,-0.5469916835734634,0.14915693904020721,-0.6648567159802177,-0.7786808763080648,-0.4605652404309666,-0.48768541006343824
1951-02-28,0.9036334913112164,0.8530035335689046,0.25317742755465167,-0.10373443983402508,-0.32072434607645883,0.08287292817679559,0.05882352941176489,0.0062726991844324065,0.01773049645390068,-0.6877390293667764,0.10894941634241251,-0.6628391466656729,-0.7727146076706222,-0.5469916835734634,-0.4605652404309666
1951-03-31,0.9352290679304897,0.8671378091872791,0.07219115404168774,-0.1478215767634855,-0.4213279678068411,0.08532842234499693,0.042483660130719206,0.004669404969498192,0.0019357336430507743,-0.6152292305511793,-0.07457846952010383,-0.714538663384082,-0.7688833916575579,-0.6877390293667764,-0.5469916835734634
1951-04-30,0.9304897314375987,0.8431095406360424,0.4285714285714284,-0.18309128630705396,0.17183098591549273,0.0896255371393493,0.05228758169934659,0.001551156447678892,0.0015455950540959051,-0.6673846577808201,0.0622568093385214,-0.7545082154011914,-0.7612562480038023,-0.6152292305511793,-0.6877390293667764
1951-05-31,0.938388625592417,0.831095406360424,0.06253177427554646,-0.10788381742738595,-0.20160965794768626,0.094536525475752,0.062091503267973976,-0.003091750725438658,0.002700617283950546,-0.5741872024662922,0.06939040207522695,-0.7856211670412938,-0.7609362142584977,-0.6673846577808201,-0.6152292305511793
1951-06-30,0.9684044233807266,0.8346289752650176,0.048296898830706425,-0.21473029045643166,-0.3931589537223341,0.08839779005524862,0.07516339869281073,-0.0046606718990939155,-0.002308580223162715,-0.6152479157972601,-0.18158236057068744,-0.7562761614688327,-0.7541433787697731,-0.5741872024662922,-0.6673846577808201
1951-07-31,0.938388625592417,0.7964664310954063,0.5343162175902387,-0.2110995850622408,0.07444668008048283,0.09515039901780234,0.08823529411764719,-0.015602515898435865,-0.0007713073659852965,-0.5831748012077123,0.215953307392996,-0.7562809902652099,-0.7709414134591099,-0.6152479157972601,-0.5741872024662922
