step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
28000,4267.93,1.441e+00,1.344e+00,9.783e-02,4.447e-01,8.972e-01,1.641e-03,2.129e-11
28500,4341.83,1.418e+00,1.330e+00,8.855e-02,4.438e-01,8.846e-01,1.446e-03,1.152e-11
29000,4417.76,1.612e+00,1.303e+00,3.086e-01,4.343e-01,8.673e-01,1.446e-03,1.106e-11
29500,4495.16,1.354e+00,1.272e+00,8.201e-02,4.369e-01,8.340e-01,1.283e-03,5.383e-12
30000,4571.16,1.365e+00,1.252e+00,1.130e-01,4.328e-01,8.177e-01,1.115e-03,3.338e-12
30500,4650.83,1.268e+00,1.255e+00,1.241e-02,4.453e-01,8.096e-01,5.735e-04,3.346e-12
31000,4727.86,1.343e+00,1.170e+00,1.728e-01,4.384e-01,7.311e-01,7.663e-04,1.905e-12
31500,4801.81,1.242e+00,1.134e+00,1.082e-01,4.288e-01,7.046e-01,5.510e-04,1.220e-12
32000,4877.96,1.144e+00,1.082e+00,6.134e-02,4.239e-01,6.582e-01,3.520e-04,7.190e-13
32500,4954.75,1.137e+00,1.033e+00,1.038e-01,4.115e-01,6.212e-01,2.324e-04,5.750e-13
33000,5030.50,1.139e+00,9.580e-01,1.813e-01,4.134e-01,5.445e-01,1.062e-04,3.185e-13
33500,5105.72,1.076e+00,9.874e-01,8.845e-02,3.907e-01,5.967e-01,1.960e-05,3.079e-13
34000,5181.38,9.543e-01,7.885e-01,1.658e-01,3.792e-01,4.092e-01,6.172e-05,8.200e-14
34500,5257.55,7.720e-01,7.093e-01,6.271e-02,3.811e-01,3.282e-01,3.092e-05,4.298e-14
35000,5333.40,7.172e-01,6.098e-01,1.073e-01,4.113e-01,1.985e-01,2.546e-05,5.176e-14
35500,5409.62,7.704e-01,5.392e-01,2.312e-01,3.630e-01,1.762e-01,1.917e-05,5.016e-14
36000,5485.14,5.019e-01,4.608e-01,4.105e-02,3.596e-01,1.011e-01,2.331e-05,2.346e-14
36500,5563.24,4.560e-01,4.197e-01,3.624e-02,3.415e-01,7.823e-02,2.454e-05,2.303e-14
37000,5639.82,5.165e-01,4.288e-01,8.770e-02,2.945e-01,1.343e-01,8.817e-06,8.194e-15
37500,5713.47,3.969e-01,3.772e-01,1.965e-02,3.334e-01,4.383e-02,1.907e-05,1.601e-14
38000,5788.87,3.980e-01,3.517e-01,4.624e-02,3.198e-01,3.194e-02,1.289e-05,1.620e-14
38500,5866.92,6.616e-01,3.295e-01,3.321e-01,2.988e-01,3.069e-02,1.928e-05,9.750e-15
39000,5944.15,5.117e-01,3.311e-01,1.806e-01,2.923e-01,3.883e-02,1.694e-06,5.740e-15
39500,6019.19,3.580e-01,3.145e-01,4.347e-02,2.797e-01,3.476e-02,1.312e-05,1.708e-14
40000,6093.45,3.125e-01,2.904e-01,2.213e-02,2.821e-01,8.236e-03,1.496e-05,5.307e-15
40000,8421.01,1.299e-01,1.080e-01,2.190e-02,1.041e-01,2.006e-04,3.703e-03,7.922e-12
