Model,Size,Trainable parameters,Loss,Density error,Pressure error
cc,10-4,845,1.094448e-05,4.158964e-03,2.587267e-04
cc,10-7,1505,3.814393e-06,1.761943e-03,1.031716e-04
cc,20-4,2845,5.014310e-06,2.724519e-03,2.457006e-04
