Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,1,281,2.229398e-07,3.025754e-04,7.697863e-05
ii,2,281,1.593839e-02,1.191930e-01,1.334046e-02
ii,3,281,1.264890e-06,2.696030e-04,8.335580e-05
ii,4,281,9.700996e-07,2.339616e-04,9.365379e-05
ii,5,281,1.645033e-02,1.254902e-01,4.517903e-03
ii,6,281,3.437836e-07,1.227032e-04,6.322066e-05
