Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,2,281,9.237531e-08,1.380822e-04,3.432508e-05
ii,3,281,4.516647e-07,2.492561e-04,4.776268e-05
ii,4,281,3.023513e-07,1.983301e-04,3.625549e-05
