Model,Size,Trainable parameters,Loss,Density error,Pressure error
ii,2,281,1.056102e-07,1.250655e-04,1.795542e-05
ii,3,281,1.793207e-06,5.968550e-04,9.657415e-05
ii,4,281,1.736004e-02,1.244287e-01,4.385544e-03
