step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,852.04,2.419e+00,1.665e+00,7.537e-01,6.651e-01,9.999e-01,9.327e-07,6.424e-05
1000,1707.88,1.890e+00,1.677e+00,2.135e-01,6.767e-01,9.999e-01,9.115e-07,5.040e-05
1500,2538.29,1.774e+00,1.682e+00,9.184e-02,6.825e-01,9.999e-01,9.011e-07,3.745e-05
2000,3399.03,1.733e+00,1.686e+00,4.751e-02,6.859e-01,9.999e-01,9.053e-07,2.653e-05
2500,4280.29,1.717e+00,1.688e+00,2.975e-02,6.876e-01,9.999e-01,9.050e-07,1.880e-05
3000,5175.40,1.709e+00,1.688e+00,2.087e-02,6.878e-01,9.999e-01,9.204e-07,1.389e-05
3500,6073.99,1.701e+00,1.686e+00,1.498e-02,6.866e-01,9.999e-01,9.334e-07,1.085e-05
4000,7835.06,1.695e+00,1.684e+00,1.154e-02,6.837e-01,9.999e-01,9.683e-07,8.968e-06
4500,8827.69,1.688e+00,1.679e+00,9.395e-03,6.788e-01,9.999e-01,9.959e-07,7.708e-06
5000,9842.10,1.679e+00,1.671e+00,7.773e-03,6.716e-01,9.999e-01,1.046e-06,6.777e-06
5500,10821.11,1.667e+00,1.661e+00,6.222e-03,6.611e-01,9.999e-01,1.092e-06,6.056e-06
6000,11763.77,1.650e+00,1.646e+00,4.073e-03,6.465e-01,9.998e-01,1.130e-06,5.405e-06
6500,12613.94,1.629e+00,1.626e+00,2.366e-03,6.267e-01,9.998e-01,1.137e-06,4.688e-06
7000,13505.92,1.601e+00,1.600e+00,9.308e-04,6.000e-01,9.997e-01,1.095e-06,4.343e-06
7500,14418.80,1.566e+00,1.566e+00,3.916e-04,5.662e-01,9.996e-01,1.047e-06,5.825e-06
8000,15393.71,1.531e+00,1.531e+00,3.421e-04,5.312e-01,9.994e-01,9.906e-07,1.141e-05
8500,16301.62,1.508e+00,1.507e+00,3.473e-04,5.081e-01,9.992e-01,9.480e-07,1.665e-05
9000,16987.16,1.500e+00,1.500e+00,2.722e-04,5.009e-01,9.991e-01,8.920e-07,1.415e-05
9500,17859.43,1.499e+00,1.499e+00,1.762e-04,5.000e-01,9.990e-01,8.456e-07,9.120e-06
10000,18661.53,1.499e+00,1.499e+00,1.706e-04,4.999e-01,9.990e-01,8.169e-07,5.742e-06
10500,19408.87,1.499e+00,1.499e+00,9.488e-05,4.999e-01,9.990e-01,7.658e-07,3.872e-06
11000,20042.79,1.499e+00,1.499e+00,6.593e-05,4.999e-01,9.990e-01,7.176e-07,2.798e-06
11500,20641.73,1.499e+00,1.499e+00,5.480e-05,4.998e-01,9.989e-01,6.730e-07,2.171e-06
12000,21271.56,1.499e+00,1.499e+00,4.195e-05,4.998e-01,9.989e-01,6.257e-07,1.777e-06
12500,21878.84,1.499e+00,1.499e+00,3.449e-05,4.997e-01,9.988e-01,5.848e-07,1.517e-06
13000,24163.86,1.498e+00,1.498e+00,5.178e-05,4.997e-01,9.988e-01,5.430e-07,1.313e-06
13500,24762.37,1.498e+00,1.498e+00,2.364e-05,4.996e-01,9.987e-01,5.059e-07,1.146e-06
14000,25358.01,1.498e+00,1.498e+00,2.553e-05,4.995e-01,9.986e-01,4.647e-07,1.002e-06
14500,25952.14,1.498e+00,1.498e+00,2.202e-05,4.994e-01,9.985e-01,4.262e-07,8.747e-07
15000,26550.73,1.498e+00,1.498e+00,2.407e-05,4.993e-01,9.983e-01,3.887e-07,7.676e-07
15500,27687.40,1.497e+00,1.497e+00,2.227e-05,4.991e-01,9.982e-01,3.688e-07,6.616e-07
16000,31103.77,1.497e+00,1.497e+00,2.549e-05,4.989e-01,9.980e-01,3.326e-07,6.049e-07
16500,31745.68,1.497e+00,1.497e+00,2.753e-05,4.987e-01,9.978e-01,3.061e-07,5.968e-07
17000,32457.65,1.496e+00,1.496e+00,1.548e-04,4.985e-01,9.976e-01,3.111e-07,6.131e-07
