step,elapsed (s),Loss,BC,F
500,36.11,3.548e+04,3.548e+04,7.164e-01
1000,72.17,3.229e+04,3.229e+04,6.871e-01
1500,108.19,2.971e+04,2.971e+04,4.514e-01
2000,144.07,2.797e+04,2.795e+04,1.954e+01
2500,180.01,2.524e+04,2.524e+04,2.848e-01
3000,215.98,2.334e+04,2.334e+04,2.309e-01
3500,252.06,2.171e+04,2.171e+04,1.970e-01
4000,288.10,2.047e+04,2.047e+04,3.025e+00
4500,324.15,1.875e+04,1.875e+04,1.272e-01
5000,360.20,1.779e+04,1.779e+04,1.021e-01
5500,396.19,1.700e+04,1.700e+04,5.794e-02
6000,432.53,1.638e+04,1.638e+04,8.061e-02
6500,468.58,1.550e+04,1.550e+04,5.385e-02
7000,504.60,1.517e+04,1.517e+04,3.860e-02
7500,540.64,1.487e+04,1.487e+04,4.222e-02
8000,576.68,1.475e+04,1.475e+04,1.191e-01
8500,612.71,1.408e+04,1.408e+04,3.073e-02
9000,648.77,1.392e+04,1.392e+04,3.532e-02
9500,684.82,1.375e+04,1.375e+04,3.065e-02
10000,720.85,1.359e+04,1.359e+04,7.716e-02
10500,756.89,1.309e+04,1.309e+04,2.187e-02
11000,792.90,1.296e+04,1.296e+04,1.336e-02
11500,828.93,1.282e+04,1.282e+04,1.336e-02
12000,864.99,1.269e+04,1.269e+04,1.870e-02
12500,901.01,1.459e+04,1.459e+04,3.415e+00
13000,937.03,1.211e+04,1.211e+04,9.850e-03
13500,973.08,1.201e+04,1.201e+04,1.243e-02
14000,1009.16,1.190e+04,1.190e+04,2.030e-02
14500,1045.48,1.180e+04,1.180e+04,6.699e-02
15000,1081.40,1.138e+04,1.138e+04,1.575e-02
15500,1117.39,1.130e+04,1.130e+04,8.131e-03
16000,1778.83,1.121e+04,1.121e+04,1.078e-02
16500,2181.21,1.113e+04,1.113e+04,1.762e-02
17000,2739.75,1.075e+04,1.075e+04,5.321e-03
17500,2775.81,1.067e+04,1.067e+04,5.190e-03
18000,2812.37,1.062e+04,1.062e+04,2.039e-02
18500,2849.00,1.057e+04,1.057e+04,4.502e-03
19000,2885.51,1.020e+04,1.020e+04,6.535e-03
19500,2922.64,1.017e+04,1.017e+04,6.104e-03
20000,2963.59,1.013e+04,1.013e+04,3.743e-03
20500,3000.12,1.007e+04,1.007e+04,2.871e-03
21000,3036.44,9.713e+03,9.713e+03,1.188e-03
21500,3072.28,9.682e+03,9.682e+03,2.131e-03
22000,3108.08,9.638e+03,9.638e+03,1.149e-03
22500,3144.03,9.588e+03,9.588e+03,1.197e-03
23000,3179.95,1.228e+04,1.228e+04,1.385e-02
23500,3216.27,9.201e+03,9.201e+03,9.642e-04
24000,3252.38,9.159e+03,9.159e+03,1.276e-03
24500,3288.95,9.134e+03,9.134e+03,6.181e-04
25000,3325.53,9.104e+03,9.104e+03,5.673e-04
25500,3361.67,8.784e+03,8.784e+03,5.026e-04
26000,3398.04,8.764e+03,8.764e+03,2.621e-04
26500,3434.30,8.740e+03,8.740e+03,2.291e-04
27000,3470.97,8.704e+03,8.704e+03,3.073e-04
27500,3507.65,1.642e+04,1.642e+04,3.805e-02
28000,3544.05,8.364e+03,8.364e+03,4.539e-04
28500,3580.13,8.334e+03,8.334e+03,3.158e-04
29000,3616.14,8.300e+03,8.300e+03,6.882e-04
29500,3652.29,8.269e+03,8.269e+03,3.104e-04
30000,3688.75,1.072e+04,1.072e+04,3.722e-03
30500,3724.93,7.946e+03,7.946e+03,1.582e-04
31000,3761.03,7.930e+03,7.930e+03,2.057e-04
31500,3797.01,7.917e+03,7.917e+03,6.752e-05
32000,3833.00,7.895e+03,7.895e+03,2.165e-04
32500,3869.05,8.582e+03,8.582e+03,9.066e-03
33000,3905.58,7.598e+03,7.598e+03,9.348e-05
33500,3941.87,7.583e+03,7.583e+03,4.887e-05
34000,3978.11,7.567e+03,7.567e+03,2.468e-05
34500,4014.66,7.549e+03,7.549e+03,9.701e-05
35000,4051.02,2.069e+04,2.069e+04,1.817e-02
35500,4087.27,7.273e+03,7.273e+03,7.152e-05
36000,4123.51,7.281e+03,7.281e+03,3.611e-05
36500,4160.15,7.279e+03,7.279e+03,4.515e-05
37000,4196.20,7.290e+03,7.290e+03,1.632e-04
37500,4232.23,7.018e+03,7.018e+03,2.264e-05
38000,4268.02,7.018e+03,7.018e+03,2.222e-05
38500,4303.86,7.014e+03,7.014e+03,3.631e-05
39000,4340.01,7.006e+03,7.006e+03,4.912e-05
39500,4377.93,7.011e+03,7.011e+03,2.656e-04
40000,4415.71,6.750e+03,6.750e+03,1.757e-05
40000,4422.26,1.820e+03,1.820e+03,5.279e-06
