step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,18.78,1.498e+00,1.498e+00,7.613e-05,4.986e-01,9.995e-01,3.228e-06,1.585e-06
1000,37.70,1.497e+00,1.497e+00,3.204e-05,4.980e-01,9.991e-01,1.427e-06,9.929e-07
1500,56.58,1.496e+00,1.496e+00,2.529e-05,4.971e-01,9.985e-01,1.322e-06,5.805e-07
2000,75.39,1.493e+00,1.493e+00,1.823e-05,4.955e-01,9.973e-01,1.188e-06,2.632e-08
2500,94.15,1.489e+00,1.484e+00,4.997e-03,4.914e-01,9.926e-01,5.616e-06,3.695e-09
3000,113.23,1.472e+00,1.472e+00,2.323e-05,4.871e-01,9.852e-01,1.215e-05,1.705e-09
3500,132.12,1.462e+00,1.462e+00,3.415e-04,4.831e-01,9.788e-01,2.270e-05,5.735e-10
4000,150.81,1.458e+00,1.458e+00,5.498e-05,4.824e-01,9.756e-01,2.826e-05,2.882e-10
4500,169.80,1.453e+00,1.453e+00,3.912e-05,4.809e-01,9.720e-01,3.216e-05,1.661e-10
5000,188.58,1.446e+00,1.446e+00,7.844e-05,4.788e-01,9.667e-01,3.534e-05,1.640e-10
5500,207.31,1.435e+00,1.435e+00,3.493e-05,4.761e-01,9.587e-01,4.296e-05,6.225e-11
6000,226.09,1.418e+00,1.418e+00,3.571e-05,4.721e-01,9.461e-01,6.033e-05,3.645e-12
6500,244.96,1.390e+00,1.390e+00,3.943e-05,4.660e-01,9.241e-01,6.825e-05,2.057e-11
7000,264.41,1.395e+00,1.393e+00,1.904e-03,4.627e-01,9.300e-01,4.912e-05,1.258e-10
7500,283.40,1.386e+00,1.386e+00,2.152e-04,4.661e-01,9.194e-01,5.385e-05,9.405e-11
8000,302.27,1.381e+00,1.381e+00,1.577e-04,4.653e-01,9.154e-01,5.426e-05,6.980e-11
8500,321.09,1.374e+00,1.374e+00,1.402e-04,4.641e-01,9.101e-01,6.224e-05,5.112e-11
9000,340.07,1.365e+00,1.365e+00,1.390e-04,4.625e-01,9.028e-01,7.035e-05,3.601e-11
9500,358.88,1.353e+00,1.353e+00,1.353e-04,4.605e-01,8.923e-01,7.532e-05,2.520e-11
10000,377.73,1.335e+00,1.335e+00,1.168e-04,4.578e-01,8.771e-01,8.390e-05,1.998e-11
10500,397.12,1.309e+00,1.308e+00,2.815e-04,4.543e-01,8.539e-01,7.444e-05,1.791e-11
11000,415.76,1.268e+00,1.268e+00,8.335e-05,4.499e-01,8.175e-01,1.069e-04,9.623e-12
11500,436.78,1.202e+00,1.202e+00,1.017e-04,4.454e-01,7.561e-01,1.958e-04,2.725e-12
12000,456.54,1.089e+00,1.089e+00,2.097e-04,4.391e-01,6.495e-01,2.508e-04,3.983e-13
12500,477.43,1.099e+00,1.098e+00,1.458e-03,4.401e-01,6.572e-01,2.293e-04,8.250e-12
13000,496.83,1.085e+00,1.085e+00,4.479e-04,4.426e-01,6.418e-01,2.526e-04,5.184e-12
13500,516.28,1.068e+00,1.067e+00,1.756e-04,4.421e-01,6.252e-01,2.223e-04,3.116e-12
14000,535.47,1.045e+00,1.045e+00,1.016e-04,4.412e-01,6.034e-01,2.629e-04,1.985e-12
14500,555.30,1.015e+00,1.015e+00,9.903e-05,4.399e-01,5.744e-01,3.080e-04,1.310e-12
15000,574.74,9.749e-01,9.748e-01,9.540e-05,4.383e-01,5.362e-01,3.219e-04,1.205e-12
15500,594.42,9.215e-01,9.214e-01,7.226e-05,4.350e-01,4.861e-01,3.477e-04,4.377e-13
16000,614.34,8.505e-01,8.505e-01,6.946e-05,4.295e-01,4.206e-01,4.300e-04,1.393e-13
16500,634.94,7.591e-01,7.590e-01,7.122e-05,4.185e-01,3.399e-01,5.571e-04,6.019e-14
17000,656.17,6.492e-01,6.491e-01,6.281e-05,3.982e-01,2.502e-01,6.721e-04,5.206e-14
17500,677.24,6.168e-01,6.145e-01,2.313e-03,3.915e-01,2.224e-01,6.321e-04,7.973e-13
18000,697.68,6.067e-01,6.059e-01,8.342e-04,3.915e-01,2.138e-01,5.256e-04,1.082e-12
18500,717.35,5.959e-01,5.954e-01,5.598e-04,3.888e-01,2.058e-01,7.227e-04,9.765e-13
19000,736.85,5.822e-01,5.817e-01,4.403e-04,3.852e-01,1.959e-01,5.951e-04,6.806e-13
19500,755.79,5.654e-01,5.651e-01,3.367e-04,3.804e-01,1.839e-01,8.027e-04,4.428e-13
20000,774.71,5.443e-01,5.440e-01,2.841e-04,3.740e-01,1.695e-01,6.122e-04,2.869e-13
20500,793.35,5.189e-01,5.187e-01,2.244e-04,3.655e-01,1.525e-01,6.434e-04,1.926e-13
21000,812.10,4.889e-01,4.887e-01,1.785e-04,3.545e-01,1.332e-01,9.385e-04,1.343e-13
21500,830.57,4.534e-01,4.532e-01,1.551e-04,3.403e-01,1.121e-01,8.368e-04,9.536e-14
22000,849.54,4.135e-01,4.134e-01,1.204e-04,3.224e-01,9.003e-02,9.412e-04,6.406e-14
22500,868.12,3.702e-01,3.702e-01,8.600e-05,3.007e-01,6.845e-02,1.056e-03,3.945e-14
23000,887.15,3.253e-01,3.253e-01,7.912e-05,2.753e-01,4.884e-02,1.127e-03,2.039e-14
23500,906.26,2.815e-01,2.814e-01,7.292e-05,2.476e-01,3.243e-02,1.367e-03,1.194e-14
24000,924.96,2.404e-01,2.403e-01,4.918e-05,2.188e-01,2.004e-02,1.461e-03,1.093e-14
24500,943.55,2.235e-01,2.234e-01,1.035e-04,2.074e-01,1.517e-02,8.321e-04,7.965e-15
25000,962.15,1.949e-01,1.949e-01,4.571e-05,1.842e-01,9.035e-03,1.682e-03,1.091e-15
25500,981.50,1.686e-01,1.686e-01,4.120e-05,1.618e-01,4.884e-03,1.927e-03,7.050e-16
26000,1000.00,1.458e-01,1.458e-01,3.806e-05,1.406e-01,2.340e-03,2.795e-03,8.996e-16
26500,1018.61,1.246e-01,1.245e-01,2.702e-05,1.211e-01,9.387e-04,2.468e-03,1.536e-15
27000,1037.26,1.065e-01,1.065e-01,2.347e-05,1.027e-01,2.750e-04,3.492e-03,1.084e-15
27500,1055.80,9.021e-02,8.989e-02,3.199e-04,8.552e-02,3.983e-05,4.333e-03,8.323e-16
28000,1074.51,7.451e-02,7.449e-02,1.800e-05,6.901e-02,6.912e-07,5.479e-03,5.973e-16
28500,1093.22,7.505e-02,7.467e-02,3.776e-04,6.884e-02,1.303e-05,5.823e-03,7.460e-15
29000,1111.88,7.424e-02,7.412e-02,1.175e-04,6.684e-02,9.295e-06,7.265e-03,7.092e-15
29500,1130.57,7.173e-02,7.165e-02,8.628e-05,6.437e-02,5.537e-06,7.268e-03,6.624e-15
30000,1149.25,6.852e-02,6.846e-02,6.073e-05,6.135e-02,2.449e-06,7.110e-03,5.956e-15
30500,1167.94,6.585e-02,6.580e-02,4.995e-05,5.769e-02,4.561e-07,8.100e-03,4.990e-15
31000,1186.63,6.152e-02,6.148e-02,3.687e-05,5.335e-02,6.400e-08,8.131e-03,4.028e-15
31500,1205.46,5.717e-02,5.715e-02,2.729e-05,4.829e-02,1.433e-06,8.856e-03,3.144e-15
32000,1224.64,5.284e-02,5.282e-02,2.072e-05,4.254e-02,4.377e-06,1.028e-02,2.383e-15
32500,1243.91,4.350e-02,4.349e-02,1.635e-05,3.624e-02,7.535e-06,7.239e-03,1.748e-15
33000,1262.80,3.718e-02,3.717e-02,1.140e-05,2.965e-02,9.988e-06,7.514e-03,1.234e-15
33500,1281.70,3.600e-02,3.598e-02,1.968e-05,2.311e-02,1.047e-05,1.286e-02,8.269e-16
34000,1300.48,3.241e-02,3.241e-02,6.455e-06,1.707e-02,8.766e-06,1.533e-02,5.616e-16
34500,1319.08,2.665e-02,2.664e-02,4.389e-06,1.194e-02,5.541e-06,1.470e-02,3.890e-16
35000,1337.74,2.599e-02,2.599e-02,3.467e-06,8.038e-03,2.729e-06,1.795e-02,5.074e-16
35500,1356.28,2.452e-02,2.452e-02,2.611e-06,5.371e-03,9.803e-07,1.915e-02,2.540e-16
36000,1374.86,2.199e-02,2.192e-02,7.501e-05,3.757e-03,1.727e-06,1.816e-02,3.338e-16
36500,1393.42,2.798e-02,2.797e-02,6.201e-06,2.940e-03,1.720e-09,2.503e-02,2.675e-16
37000,1412.01,2.432e-02,2.432e-02,9.127e-07,2.554e-03,2.595e-09,2.177e-02,5.779e-16
37500,1430.46,2.248e-02,2.248e-02,7.711e-07,2.454e-03,2.606e-09,2.003e-02,3.779e-16
38000,1449.01,2.548e-02,2.548e-02,1.217e-06,2.419e-03,8.865e-10,2.306e-02,2.638e-16
38500,1467.65,1.970e-02,1.970e-02,3.260e-07,2.405e-03,5.114e-09,1.729e-02,3.028e-16
39000,1486.15,2.830e-02,2.829e-02,3.561e-06,2.417e-03,1.116e-07,2.588e-02,2.288e-16
39500,1504.91,2.234e-02,2.225e-02,8.581e-05,2.443e-03,2.550e-05,1.978e-02,1.970e-16
40000,1525.34,2.285e-02,2.285e-02,1.104e-06,2.383e-03,1.792e-07,2.046e-02,1.573e-16
40000,1529.63,2.456e-02,2.456e-02,1.009e-07,2.414e-03,6.317e-11,2.215e-02,1.463e-16
