step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
28000,5205.37,1.481e+00,1.481e+00,6.848e-04,4.960e-01,9.847e-01,6.674e-08,1.871e-07
28500,5229.01,1.603e+00,1.596e+00,7.611e-03,5.977e-01,9.979e-01,2.721e-08,2.114e-05
29000,5252.75,1.505e+00,1.503e+00,1.992e-03,5.073e-01,9.956e-01,3.815e-08,6.279e-05
29500,5276.43,1.526e+00,1.494e+00,3.240e-02,4.989e-01,9.950e-01,3.449e-08,6.520e-05
30000,5300.17,1.494e+00,1.493e+00,5.087e-04,4.984e-01,9.947e-01,3.291e-08,5.620e-05
30500,5323.84,1.494e+00,1.494e+00,3.271e-04,4.985e-01,9.950e-01,2.599e-08,4.634e-05
31000,5356.39,1.494e+00,1.494e+00,2.863e-04,4.986e-01,9.955e-01,1.865e-08,3.581e-05
31500,5381.00,1.494e+00,1.493e+00,1.806e-04,4.985e-01,9.950e-01,2.188e-08,2.634e-05
32000,5404.85,1.494e+00,1.494e+00,1.421e-04,4.986e-01,9.955e-01,1.525e-08,1.849e-05
32500,5428.60,1.494e+00,1.493e+00,1.099e-04,4.984e-01,9.950e-01,1.808e-08,1.173e-05
33000,5452.31,1.494e+00,1.494e+00,7.679e-05,4.986e-01,9.955e-01,1.404e-08,6.930e-06
33500,5475.99,1.505e+00,1.500e+00,4.505e-03,5.036e-01,9.967e-01,1.290e-08,4.164e-06
34000,5499.67,1.494e+00,1.494e+00,5.504e-05,4.985e-01,9.951e-01,1.437e-08,1.880e-06
34500,5523.32,1.494e+00,1.494e+00,1.369e-04,4.986e-01,9.956e-01,1.358e-08,8.243e-07
35000,5547.02,1.492e+00,1.492e+00,6.513e-05,4.982e-01,9.942e-01,1.935e-08,4.862e-07
35500,5570.83,1.493e+00,1.493e+00,3.676e-05,4.983e-01,9.942e-01,4.023e-08,3.309e-07
36000,5595.27,1.489e+00,1.489e+00,9.103e-05,4.977e-01,9.917e-01,5.506e-08,2.808e-07
36500,5618.93,1.487e+00,1.487e+00,5.274e-05,4.972e-01,9.896e-01,2.441e-08,2.333e-07
37000,5642.67,1.484e+00,1.484e+00,8.091e-05,4.966e-01,9.874e-01,1.294e-07,1.191e-07
37500,5666.44,1.476e+00,1.476e+00,3.816e-05,4.952e-01,9.805e-01,1.275e-08,4.017e-08
38000,5690.15,1.471e+00,1.462e+00,9.582e-03,4.925e-01,9.691e-01,5.199e-08,1.395e-07
38500,5713.81,1.703e+00,1.697e+00,6.319e-03,6.996e-01,9.974e-01,4.361e-07,9.129e-10
39000,5737.48,1.518e+00,1.509e+00,8.312e-03,5.269e-01,9.823e-01,3.690e-07,3.214e-08
39500,5761.71,1.480e+00,1.477e+00,3.405e-03,4.996e-01,9.775e-01,3.178e-07,5.243e-08
40000,5785.38,1.475e+00,1.474e+00,9.331e-04,4.969e-01,9.769e-01,1.838e-07,2.862e-08
40000,5893.37,1.163e+00,1.114e+00,4.868e-02,4.641e-01,6.501e-01,3.874e-06,4.518e-07
