step,elapsed (s),Loss,BC,F
500,21.41,3.810e+04,3.810e+04,7.283e+00
1000,43.24,3.773e+04,3.773e+04,4.903e+00
1500,64.72,3.747e+04,3.747e+04,3.136e+00
2000,86.24,3.720e+04,3.712e+04,7.895e+01
2500,107.55,3.728e+04,3.717e+04,1.061e+02
3000,128.73,3.681e+04,3.681e+04,1.997e+00
3500,150.07,3.631e+04,3.631e+04,2.546e+00
4000,171.19,3.613e+04,3.613e+04,3.022e+00
4500,192.24,3.534e+04,3.533e+04,3.186e+00
5000,213.27,3.590e+04,3.590e+04,4.481e+00
5500,234.28,3.562e+04,3.562e+04,1.813e+00
6000,255.29,3.526e+04,3.526e+04,1.576e+00
6500,276.10,3.481e+04,3.481e+04,1.750e+00
7000,297.06,3.445e+04,3.445e+04,2.862e+00
7500,318.05,3.374e+04,3.374e+04,2.608e+00
8000,338.95,3.450e+04,3.412e+04,3.862e+02
8500,359.85,3.348e+04,3.345e+04,3.036e+01
9000,381.22,3.326e+04,3.325e+04,8.967e+00
9500,402.50,3.302e+04,3.301e+04,5.472e+00
10000,423.79,3.272e+04,3.271e+04,3.860e+00
10500,445.36,3.255e+04,3.254e+04,3.474e+00
11000,466.65,3.210e+04,3.210e+04,3.115e+00
11500,487.98,3.153e+04,3.153e+04,3.119e+00
12000,509.24,3.102e+04,3.102e+04,2.927e+00
12500,530.53,3.073e+04,3.073e+04,7.550e+00
13000,551.83,3.001e+04,3.001e+04,2.622e+00
13500,573.13,2.938e+04,2.938e+04,2.620e+00
14000,594.43,2.869e+04,2.869e+04,3.689e+00
14500,615.78,5.817e+04,5.295e+04,5.217e+03
15000,637.10,2.861e+04,2.860e+04,1.500e+01
15500,658.41,2.840e+04,2.839e+04,6.196e+00
16000,679.73,2.814e+04,2.814e+04,3.495e+00
16500,700.97,2.782e+04,2.782e+04,2.643e+00
17000,722.19,2.758e+04,2.758e+04,2.602e+00
17500,743.43,2.738e+04,2.738e+04,3.092e+00
18000,764.64,2.682e+04,2.681e+04,2.779e+00
18500,785.96,2.654e+04,2.653e+04,2.739e+00
19000,807.17,5.381e+04,5.295e+04,8.594e+02
19500,828.42,2.588e+04,2.588e+04,2.214e+00
20000,849.75,2.544e+04,2.544e+04,2.284e+00
20500,871.06,2.485e+04,2.485e+04,2.493e+00
21000,892.33,2.440e+04,2.440e+04,2.281e+00
21500,913.54,2.733e+04,2.675e+04,5.774e+02
22000,934.85,2.453e+04,2.450e+04,2.686e+01
22500,956.17,2.438e+04,2.437e+04,1.273e+01
23000,977.46,2.421e+04,2.420e+04,7.266e+00
23500,998.76,2.401e+04,2.401e+04,4.743e+00
24000,1020.08,2.377e+04,2.377e+04,3.681e+00
24500,1041.67,2.370e+04,2.369e+04,3.569e+00
25000,1062.99,2.364e+04,2.363e+04,2.897e+00
25500,1084.30,2.360e+04,2.360e+04,3.161e+00
26000,1105.61,2.350e+04,2.349e+04,6.107e+00
26500,1126.92,2.307e+04,2.307e+04,2.652e+00
27000,1148.13,2.404e+04,2.350e+04,5.346e+02
27500,1169.36,3.083e+04,3.039e+04,4.493e+02
28000,1190.66,2.328e+04,2.320e+04,8.457e+01
28500,1211.97,2.205e+04,2.205e+04,1.953e+00
29000,1233.31,2.257e+04,2.247e+04,9.436e+01
29500,1254.61,2.221e+04,2.220e+04,7.616e+00
30000,1275.90,2.193e+04,2.193e+04,5.129e+00
30500,1297.20,2.188e+04,2.187e+04,3.306e+00
31000,1318.50,2.191e+04,2.190e+04,3.828e+00
31500,1339.82,2.231e+04,2.226e+04,4.647e+01
32000,1361.12,2.143e+04,2.143e+04,1.748e+00
32500,1382.41,4.133e+04,4.109e+04,2.456e+02
33000,1403.70,2.152e+04,2.151e+04,3.221e+00
33500,1425.03,2.137e+04,2.136e+04,2.563e+00
34000,1446.33,2.110e+04,2.110e+04,2.119e+00
34500,1467.65,2.114e+04,2.112e+04,1.397e+01
35000,1488.97,2.092e+04,2.091e+04,4.549e+00
35500,1510.27,2.122e+04,2.121e+04,1.129e+01
36000,1531.58,2.071e+04,2.071e+04,2.520e+00
36500,1552.87,2.080e+04,2.080e+04,2.168e+00
37000,1574.13,2.103e+04,2.103e+04,3.786e+00
37500,1595.44,2.049e+04,2.049e+04,2.014e+00
38000,1616.70,2.066e+04,2.066e+04,2.219e+00
38500,1638.18,2.082e+04,2.082e+04,3.868e+00
39000,1659.49,2.069e+04,2.069e+04,2.571e+00
39500,1681.14,2.079e+04,2.079e+04,4.717e+00
40000,1702.54,2.054e+04,2.054e+04,2.868e+00
40000,1811.25,1.820e+03,1.820e+03,2.047e-03
