step,elapsed (s),Loss,BC,F,L_in,L_out,L_wall,L_per
500,15.03,1.500e+00,1.500e+00,3.129e-04,4.999e-01,1.000e+00,3.877e-08,4.365e-05
1000,29.68,1.500e+00,1.500e+00,5.046e-05,4.998e-01,1.000e+00,3.975e-08,2.111e-05
1500,43.24,1.500e+00,1.500e+00,3.210e-05,4.998e-01,1.000e+00,1.446e-08,1.579e-05
2000,56.72,1.500e+00,1.500e+00,3.064e-05,4.996e-01,1.000e+00,1.419e-07,1.245e-05
2500,69.97,1.499e+00,1.499e+00,2.929e-05,4.995e-01,1.000e+00,5.439e-08,1.030e-05
3000,82.90,1.499e+00,1.499e+00,4.108e-05,4.993e-01,1.000e+00,3.476e-07,7.890e-06
3500,95.37,1.499e+00,1.499e+00,7.061e-05,4.990e-01,9.999e-01,7.488e-07,5.819e-06
4000,107.83,1.509e+00,1.498e+00,1.061e-02,4.986e-01,9.997e-01,1.258e-06,4.536e-06
4500,119.95,1.498e+00,1.498e+00,9.816e-05,4.982e-01,9.994e-01,1.908e-06,3.676e-06
5000,132.02,1.497e+00,1.497e+00,7.142e-04,4.976e-01,9.991e-01,3.288e-06,2.950e-06
5500,144.26,1.495e+00,1.494e+00,7.475e-05,4.963e-01,9.982e-01,5.864e-06,1.390e-06
6000,156.95,1.493e+00,1.493e+00,5.552e-05,4.955e-01,9.975e-01,8.086e-06,4.241e-07
6500,169.55,1.490e+00,1.489e+00,5.510e-05,4.934e-01,9.961e-01,1.335e-05,1.056e-07
7000,181.92,1.485e+00,1.485e+00,5.213e-05,4.909e-01,9.944e-01,2.199e-05,2.545e-08
7500,194.08,1.480e+00,1.480e+00,6.137e-05,4.877e-01,9.923e-01,3.532e-05,2.136e-08
8000,206.86,1.468e+00,1.468e+00,1.395e-04,4.818e-01,9.857e-01,6.296e-05,7.694e-10
8500,218.89,1.448e+00,1.448e+00,2.900e-05,4.742e-01,9.734e-01,1.152e-04,2.478e-10
9000,231.36,1.441e+00,1.438e+00,2.297e-03,4.705e-01,9.677e-01,1.868e-04,1.227e-09
9500,243.60,1.437e+00,1.436e+00,5.896e-04,4.707e-01,9.655e-01,1.838e-04,1.330e-09
10000,255.25,1.436e+00,1.435e+00,3.412e-04,4.707e-01,9.643e-01,1.922e-04,1.059e-09
10500,266.96,1.434e+00,1.434e+00,2.382e-04,4.703e-01,9.630e-01,1.920e-04,7.167e-10
11000,279.67,1.432e+00,1.431e+00,1.761e-04,4.697e-01,9.615e-01,1.944e-04,4.001e-10
11500,292.23,1.429e+00,1.429e+00,1.173e-04,4.689e-01,9.594e-01,2.144e-04,1.656e-10
12000,304.84,1.425e+00,1.425e+00,7.803e-05,4.678e-01,9.567e-01,2.276e-04,3.589e-11
12500,319.26,1.420e+00,1.420e+00,4.290e-05,4.665e-01,9.531e-01,2.177e-04,1.573e-11
