n_photons,n_modes,seed,fold_index,train_acc,val_acc,test_acc,qorc_output_size,n_train_epochs,duration_qfeatures,duration_train,best_val_epoch
2,70,67,0,0.996666,0.973416,0.972999,2415,100,2.5500000000000003,80.03,68
2,80,42,0,0.998458,0.975083,0.9745,3160,100,3.3800000000000003,82.17,82
2,80,42,0,0.998458,0.975083,0.9745,3160,100,3.4000000000000004,81.98,82
2,80,47,0,0.998145,0.976499,0.975799,3160,100,2.61,82.18,95
2,80,53,0,0.998083,0.973833,0.976999,3160,100,2.57,81.69,77
2,90,42,0,0.998895,0.974583,0.974999,4005,100,2.9000000000000004,83.47,84
2,90,42,0,0.998895,0.974583,0.974999,4005,100,2.97,84.3,84
2,90,47,0,0.998583,0.973749,0.973399,4005,100,2.91,83.9,100
2,90,53,0,0.998479,0.972499,0.973999,4005,100,2.64,84.41,80
2,100,42,0,0.998979,0.970749,0.973499,4950,100,2.89,86.3,87
2,100,42,0,0.998979,0.970749,0.973499,4950,100,3.03,86.64,87
2,100,47,0,0.99952,0.973916,0.974099,4950,100,2.7,86.22,89
2,100,53,0,0.998666,0.973833,0.973499,4950,100,2.69,86.62,52
2,130,42,0,0.999291,0.972249,0.972899,8385,100,3.34,93.61,61
2,130,42,0,0.999291,0.972249,0.972899,8385,100,3.5,93.84,61
2,130,47,0,0.999812,0.971333,0.969599,8385,100,3.01,94.29,96
3,10,42,0,0.965937,0.952499,0.951999,120,100,3.12,72.54,99
3,10,47,0,0.964958,0.952166,0.954499,120,100,3.45,72.49,60
3,10,53,0,0.966312,0.952833,0.952899,120,100,2.41,71.78,71
3,10,59,0,0.963041,0.946749,0.951799,120,100,2.55,72.02,65
3,10,67,0,0.965999,0.953,0.954699,120,100,2.4,71.39,59
3,12,42,0,0.97177,0.959749,0.958499,220,100,2.74,71.77,57
3,12,47,0,0.973291,0.957083,0.959899,220,100,2.51,71.81,91
3,12,53,0,0.974083,0.958249,0.959099,220,100,2.34,72.29,98
3,12,59,0,0.973041,0.9545,0.960899,220,100,2.5,72.23,65
3,12,67,0,0.973583,0.960749,0.960099,220,100,2.36,71.85,70
3,14,42,0,0.977666,0.962666,0.962099,364,100,2.59,72.33,81
3,14,47,0,0.978333,0.959166,0.960599,364,100,2.52,72.56,65
3,14,53,0,0.978729,0.96275,0.963199,364,100,2.36,72.82,72
3,14,59,0,0.979041,0.961499,0.964899,364,100,2.51,72.79,65
3,14,67,0,0.976937,0.961916,0.960799,364,100,2.48,72.98,59
3,16,42,0,0.982958,0.966416,0.965499,560,100,2.45,73.44,87
3,16,47,0,0.985374,0.965833,0.965799,560,100,2.39,73.38,65
3,16,53,0,0.983291,0.963499,0.965399,560,100,2.35,74.03,75
3,16,59,0,0.983083,0.964666,0.968999,560,100,2.44,74.03,50
3,16,67,0,0.983708,0.967333,0.965999,560,100,2.5,73.37,70
3,18,42,0,0.988395,0.970749,0.968599,816,100,2.4,74.34,68
3,18,47,0,0.98852,0.967416,0.9702,816,100,2.49,74.33,83
3,18,53,0,0.986395,0.968833,0.967499,816,100,2.38,74.57,61
3,18,59,0,0.987333,0.967499,0.966899,816,100,2.42,74.29,50
3,18,67,0,0.988333,0.972166,0.970799,816,100,2.39,74.23,70
3,20,42,0,0.990708,0.971083,0.970499,1140,100,2.39,75.65,68
3,20,47,0,0.99175,0.971083,0.971799,1140,100,2.45,75.36,72
3,20,53,0,0.989624,0.974833,0.973899,1140,100,2.42,75.92,40
3,20,59,0,0.989833,0.970499,0.972299,1140,100,2.55,75.7,46
3,20,67,0,0.99002,0.9745,0.970999,1140,100,2.41,76.12,67
3,24,42,0,0.995395,0.976,0.973299,2024,100,2.47,79.08,68
3,24,47,0,0.995645,0.972833,0.972199,2024,100,2.42,79.35,47
3,24,53,0,0.996104,0.976249,0.975799,2024,100,2.45,78.84,61
3,24,59,0,0.995583,0.974916,0.975099,2024,100,2.61,78.99,50
3,24,67,0,0.994249,0.977583,0.975099,2024,100,2.59,79.08,36
3,30,42,0,0.998874,0.976416,0.976699,4060,100,2.52,84.47,50
3,30,47,0,0.99902,0.975916,0.975799,4060,100,2.53,84.06,56
3,30,53,0,0.998479,0.977249,0.977899,4060,100,2.66,84.69,41
3,30,59,0,0.998937,0.977249,0.977299,4060,100,2.68,84.71,51
3,30,67,0,0.998479,0.980416,0.9763,4060,100,2.64,84.17,48
3,32,42,0,0.999062,0.976249,0.975399,4960,100,3.02,87.2,62
3,32,47,0,0.999249,0.97675,0.976699,4960,100,3.01,87.18,56
3,32,53,0,0.999395,0.977416,0.9774,4960,100,2.61,86.36,62
3,32,59,0,0.998979,0.976583,0.975399,4960,100,2.69,86.4,56
3,32,67,0,0.998874,0.978749,0.975799,4960,100,2.68,86.38,48
4,10,42,0,0.971249,0.958999,0.955899,210,100,3.18,72.96,57
4,10,47,0,0.971666,0.95475,0.955799,210,100,3.26,72.65,50
4,10,53,0,0.970604,0.958416,0.955299,210,100,2.41,72.18,51
4,10,59,0,0.970083,0.951333,0.954799,210,100,2.4,71.68,65
4,10,67,0,0.970729,0.956916,0.958299,210,100,2.39,71.51,61
4,12,42,0,0.980104,0.963499,0.965399,495,100,2.78,73.32,49
4,12,47,0,0.980854,0.962083,0.964899,495,100,2.56,72.6,57
4,12,53,0,0.979375,0.963833,0.965299,495,100,2.36,73.1,40
4,12,59,0,0.980979,0.961083,0.963499,495,100,2.34,72.81,44
4,12,67,0,0.979208,0.963916,0.964299,495,100,2.36,73.06,45
4,14,42,0,0.984687,0.967166,0.968299,1001,100,2.61,75.12,45
4,14,47,0,0.986854,0.967166,0.966499,1001,100,2.54,74.98,64
4,14,53,0,0.987041,0.968666,0.9677,1001,100,2.41,75.47,41
4,14,59,0,0.986479,0.965833,0.967399,1001,100,2.4,74.75,39
4,14,67,0,0.986083,0.967416,0.966399,1001,100,2.4,75.3,48
4,16,42,0,0.992395,0.972249,0.969299,1820,100,2.43,77.71,49
4,16,47,0,0.993437,0.971833,0.968999,1820,100,2.44,78.45,47
4,16,53,0,0.993187,0.970833,0.9702,1820,100,2.6,77.9,47
4,16,59,0,0.993291,0.970499,0.971199,1820,100,2.43,78.07,51
4,16,67,0,0.993895,0.973166,0.970099,1820,100,2.42,78.09,73
4,18,42,0,0.995145,0.975083,0.971599,3060,100,2.5,81.51,50
4,18,47,0,0.99652,0.97275,0.972699,3060,100,2.52,81.82,65
4,18,53,0,0.995208,0.973666,0.973199,3060,100,2.51,82.32,47
4,18,59,0,0.997791,0.972499,0.973699,3060,100,2.54,81.88,64
4,18,67,0,0.99575,0.975416,0.971499,3060,100,2.63,81.5,45
4,20,47,0,0.998895,0.9735,0.973899,4845,100,3.15,85.77,58
4,20,53,0,0.998416,0.976,0.975099,4845,100,2.58,86.2,59
5,10,42,0,0.973729,0.959833,0.958199,252,100,3.21,73.01,59
5,10,42,0,0.973729,0.959833,0.958199,252,100,3.22,72.92,59
5,10,47,0,0.972666,0.957583,0.9562,252,100,2.4,72.15,32
5,10,47,0,0.972666,0.957583,0.9562,252,100,2.6,71.72,32
5,10,53,0,0.972208,0.957499,0.958,252,100,2.38,72.02,40
5,10,59,0,0.972229,0.955333,0.957899,252,100,2.43,72.82,33
5,10,67,0,0.972083,0.959083,0.959599,252,100,2.36,71.97,45
5,12,42,0,0.984145,0.964999,0.964199,792,100,2.57,74.77,32
5,12,42,0,0.984145,0.964999,0.964199,792,100,2.84,74.44,32
5,12,47,0,0.985041,0.962916,0.964399,792,100,2.41,73.99,40
5,12,47,0,0.985041,0.962916,0.964399,792,100,2.44,74.42,40
5,12,53,0,0.981708,0.965083,0.965499,792,100,2.4,74.47,22
5,12,59,0,0.986458,0.965166,0.9666,792,100,2.43,74.32,52
5,12,67,0,0.983083,0.964166,0.965699,792,100,2.4,74.43,36
5,14,42,0,0.994062,0.970749,0.970599,2002,100,2.54,79.23,49
5,14,42,0,0.994062,0.970749,0.970599,2002,100,2.8600000000000003,79.26,49
5,14,47,0,0.992833,0.968416,0.967899,2002,100,2.52,78.63,47
5,14,47,0,0.992833,0.968416,0.967899,2002,100,2.5700000000000003,79.23,47
5,14,53,0,0.989166,0.9695,0.967199,2002,100,2.65,79.22,22
5,14,59,0,0.992541,0.969666,0.967999,2002,100,2.5,78.36,35
5,14,67,0,0.993958,0.970499,0.9677,2002,100,2.47,78.17,48
5,16,42,0,0.997624,0.973999,0.968599,4368,100,3.43,85.04,65
