epoch,elapsed (s),Loss,IC,BC,F
0,0.08,4.390e+00,1.755e+00,2.582e+00,5.307e-02
1000,80.68,5.085e-02,3.730e-02,9.300e-03,4.251e-03
2000,160.69,1.909e-02,1.155e-02,4.074e-03,3.460e-03
3000,308.19,9.944e-03,6.985e-03,1.658e-03,1.301e-03
4000,388.45,8.664e-03,6.280e-03,1.311e-03,1.073e-03
5000,470.04,6.104e-03,4.429e-03,7.313e-04,9.432e-04
6000,553.21,3.259e-03,2.388e-03,3.505e-04,5.200e-04
7000,633.67,2.045e-03,1.573e-03,2.095e-04,2.619e-04
8000,714.39,1.587e-03,1.250e-03,1.933e-04,1.431e-04
9000,796.58,1.247e-03,1.067e-03,1.175e-04,6.241e-05
10000,877.52,1.209e-03,8.917e-04,1.003e-04,2.167e-04
11000,958.28,1.001e-03,7.569e-04,8.177e-05,1.624e-04
12000,1039.49,9.789e-04,5.941e-04,7.088e-05,3.140e-04
13000,1120.62,9.403e-04,4.444e-04,3.754e-05,4.583e-04
14000,1202.34,5.408e-04,2.917e-04,4.743e-05,2.017e-04
15000,1284.51,2.646e-04,1.833e-04,2.815e-05,5.315e-05
16000,1367.95,1.928e-04,9.673e-05,2.904e-05,6.700e-05
17000,2422.17,1.138e-04,5.647e-05,2.049e-05,3.687e-05
18000,2617.27,1.291e-04,5.163e-05,2.642e-05,5.108e-05
19000,4143.17,9.944e-05,2.841e-05,1.986e-05,5.117e-05
20000,4225.49,7.902e-05,2.061e-05,1.492e-05,4.350e-05
