epoch,elapsed (s),Loss,IC,BC,F
0,0.08,9.992e+00,3.623e+00,6.105e+00,2.636e-01
1000,78.22,7.617e-02,5.279e-02,9.777e-03,1.360e-02
2000,156.45,5.971e-02,4.757e-02,9.130e-03,3.010e-03
3000,234.54,5.479e-02,4.270e-02,9.429e-03,2.659e-03
4000,312.93,5.077e-02,3.853e-02,8.437e-03,3.807e-03
5000,391.05,2.680e-02,1.768e-02,4.633e-03,4.488e-03
6000,469.11,1.063e-02,5.551e-03,2.039e-03,3.039e-03
7000,547.44,8.390e-03,4.686e-03,1.761e-03,1.942e-03
8000,625.67,7.726e-03,4.483e-03,1.482e-03,1.761e-03
9000,704.14,7.392e-03,4.498e-03,1.321e-03,1.573e-03
10000,782.35,6.817e-03,4.534e-03,1.229e-03,1.054e-03
11000,860.61,6.662e-03,4.580e-03,1.114e-03,9.678e-04
12000,939.45,6.457e-03,4.564e-03,9.620e-04,9.313e-04
13000,1018.11,5.838e-03,4.522e-03,7.732e-04,5.431e-04
14000,1096.63,5.912e-03,4.538e-03,6.529e-04,7.208e-04
15000,1175.76,5.890e-03,4.527e-03,6.370e-04,7.264e-04
16000,1255.09,5.736e-03,4.538e-03,6.135e-04,5.847e-04
17000,1333.74,5.737e-03,4.535e-03,6.189e-04,5.831e-04
18000,1412.45,5.849e-03,4.512e-03,6.484e-04,6.891e-04
19000,1491.50,5.764e-03,4.524e-03,6.281e-04,6.115e-04
20000,1570.68,5.820e-03,4.516e-03,6.242e-04,6.800e-04
