epoch,elapsed (s),Loss,IC,BC,F
0,0.09,9.992e+00,3.623e+00,6.105e+00,2.636e-01
1000,79.12,7.617e-02,5.279e-02,9.777e-03,1.360e-02
2000,158.21,5.971e-02,4.757e-02,9.130e-03,3.010e-03
3000,237.18,5.479e-02,4.270e-02,9.429e-03,2.659e-03
4000,316.31,5.077e-02,3.853e-02,8.437e-03,3.807e-03
5000,395.73,2.680e-02,1.768e-02,4.633e-03,4.488e-03
6000,474.76,1.063e-02,5.551e-03,2.039e-03,3.039e-03
7000,553.64,8.390e-03,4.686e-03,1.761e-03,1.942e-03
8000,632.68,7.726e-03,4.483e-03,1.482e-03,1.761e-03
9000,711.18,7.392e-03,4.498e-03,1.321e-03,1.573e-03
10000,788.41,6.817e-03,4.534e-03,1.229e-03,1.054e-03
11000,865.75,6.662e-03,4.580e-03,1.114e-03,9.678e-04
12000,943.44,6.457e-03,4.564e-03,9.620e-04,9.313e-04
13000,1020.73,5.838e-03,4.522e-03,7.732e-04,5.431e-04
14000,1098.10,5.912e-03,4.538e-03,6.529e-04,7.208e-04
15000,1175.68,5.890e-03,4.527e-03,6.370e-04,7.264e-04
16000,1253.07,5.736e-03,4.538e-03,6.135e-04,5.847e-04
17000,1330.49,5.737e-03,4.535e-03,6.189e-04,5.831e-04
18000,1408.27,5.849e-03,4.512e-03,6.484e-04,6.891e-04
19000,1486.00,5.764e-03,4.524e-03,6.281e-04,6.115e-04
20000,1564.27,5.820e-03,4.516e-03,6.242e-04,6.800e-04
