variant,encoding_scale,n,test_mse_mean,test_mse_min,test_mse_std,validation_mse_min
PQR1,pi/1,25,0.2069970324758402,0.15967661712054063,0.03764984237041108,0.13630846233138927
PQR1,pi/2,25,0.17434538550468295,0.11275013643845348,0.04537869624526626,0.11773986519797332
PQR1,pi/4,25,0.1565027726341241,0.11397833464340716,0.03503599952386344,0.10836841994834355
PQR1,pi/8,25,0.1481512276723066,0.106659423631226,0.024641661143020632,0.10450316674062764
PQR2,pi/1,25,0.17648350921331918,0.1513080815679111,0.015926203898931894,0.10542688154240813
PQR2,pi/2,25,0.13700757736431524,0.11344432589733143,0.01976180381355166,0.10536850596379149
PQR2,pi/4,25,0.12173004055319708,0.10643821890059721,0.012800609393244011,0.1012733601432117
PQR2,pi/8,25,0.11356815120334529,0.10040299455930271,0.007222096573702526,0.10510460715310553
