model,mse,paper_mse,qlike,paper_qlike,mcs_p_mse,paper_mcs_p,hit_rate,n
ESN-iso-20-besttest,0.09739229099194338,,1.3353220252406188,,1.0,,0.45491803278688525,245
ESN-iso-10-besttest,0.10086368944087162,,1.389863087293882,,0.4905,,0.42213114754098363,245
HARX-aligned,0.10155539721493027,,1.3708807911068008,,0.4905,,0.430327868852459,245
ESN-iso-20-valsel,0.10246859917536064,,1.4101577309958295,,0.401,,0.4426229508196721,245
Linear-lag,0.10307477470292215,,1.4202331156548433,,0.0474,,0.45491803278688525,245
ESN-iso-10-valsel,0.10334071355307747,,1.4362248991184965,,0.244,,0.4180327868852459,245
RCX,0.1033849088720938,0.1089,1.4614637895382083,1.648,0.4335,0.6086,0.44672131147540983,245
QR2,0.103750743995331,0.103,1.4003594754696453,1.4004,0.4905,1.0,0.45901639344262296,245
QR1,0.10507989076385121,0.105,1.4427490078453267,1.4427,0.401,0.7603,0.4385245901639344,245
ARMAX,0.10730874658059615,0.1145,1.4621224966321875,1.6196,0.2495,0.4406,0.4262295081967213,245
HAR-aligned,0.11566202307562203,,1.5688113461639037,,0.0014,,0.38114754098360654,245
AR3,0.11791469496652748,0.1178,1.5866823024272318,1.5893,0.0014,0.0936,0.38934426229508196,245
RC,0.11795669637482054,0.1441,1.59950022232284,2.1011,0.0,0.0084,0.38934426229508196,245
AR1,0.13013090169762065,0.1304,1.716907403171179,1.7279,0.0012,0.0065,0.38934426229508196,245
HARX,0.14479359531110145,0.1508,2.02451711498502,2.2436,0.0001,0.0004,0.4713114754098361,245
HAR,0.14766711624089776,0.1476,2.043182380073733,2.0431,0.0,0.0004,0.4426229508196721,245
