epoch,elapsed (s),Loss,IC,BC,F
0,0.08,4.944e+00,4.682e+00,1.100e-05,2.623e-01
1000,76.03,2.457e-02,1.996e-02,3.083e-04,4.301e-03
2000,154.96,1.724e-02,1.484e-02,7.172e-04,1.683e-03
3000,232.85,6.270e-03,2.595e-03,2.381e-03,1.293e-03
4000,311.09,3.181e-03,8.596e-04,1.442e-03,8.793e-04
5000,388.59,2.547e-03,6.399e-04,1.281e-03,6.256e-04
6000,466.03,2.013e-03,3.545e-04,1.100e-03,5.586e-04
7000,542.12,1.517e-03,2.137e-04,7.912e-04,5.122e-04
8000,620.40,9.630e-04,1.447e-04,4.946e-04,3.237e-04
9000,697.40,2.870e-04,3.192e-05,1.081e-04,1.470e-04
10000,773.97,8.621e-05,1.139e-05,2.786e-05,4.697e-05
11000,851.38,2.773e-05,4.965e-06,7.906e-06,1.486e-05
12000,927.85,1.191e-05,1.272e-06,3.436e-06,7.204e-06
13000,1006.03,5.685e-06,7.727e-07,9.353e-07,3.977e-06
14000,1083.90,3.516e-06,6.947e-07,5.503e-07,2.271e-06
15000,1161.77,2.766e-06,1.086e-06,3.411e-07,1.339e-06
16000,1238.15,1.104e-06,7.671e-08,1.658e-07,8.617e-07
17000,1315.11,8.557e-07,1.376e-07,8.079e-08,6.373e-07
18000,1392.18,9.959e-07,4.558e-07,5.658e-08,4.835e-07
19000,1492.04,5.167e-07,1.370e-07,5.370e-08,3.260e-07
20000,1569.56,3.356e-07,3.808e-08,2.307e-08,2.744e-07
