epoch,elapsed (s),Loss,IC,BC,F
0,0.17,3.780e+00,3.309e+00,1.235e-32,4.709e-01
1000,2229.03,5.173e-02,2.931e-02,5.810e-32,2.243e-02
2000,2705.27,2.264e-02,1.370e-02,7.371e-32,8.941e-03
3000,2884.64,1.351e-02,8.910e-03,6.861e-32,4.599e-03
4000,3066.70,6.341e-03,4.095e-03,7.182e-32,2.246e-03
5000,3230.09,1.609e-03,6.298e-04,7.387e-32,9.790e-04
6000,3386.17,4.931e-04,1.106e-04,5.736e-32,3.825e-04
7000,3544.63,2.127e-04,2.020e-05,6.336e-32,1.925e-04
8000,3708.57,1.090e-04,6.946e-06,1.098e-31,1.021e-04
9000,3866.99,6.052e-05,3.283e-06,7.609e-32,5.724e-05
10000,4026.09,3.478e-05,1.727e-06,7.453e-32,3.305e-05
11000,4834.87,1.893e-05,1.293e-06,1.145e-31,1.763e-05
12000,4991.51,9.477e-06,9.111e-07,7.346e-32,8.566e-06
13000,5149.84,5.282e-06,3.921e-07,6.771e-32,4.890e-06
14000,5306.56,3.164e-06,2.175e-07,7.354e-32,2.946e-06
15000,5464.90,2.062e-06,1.235e-07,7.519e-32,1.939e-06
16000,5623.73,1.554e-06,7.119e-08,6.549e-32,1.482e-06
17000,5803.27,1.179e-06,8.323e-08,9.023e-32,1.096e-06
18000,5997.74,8.522e-07,8.797e-08,6.623e-32,7.642e-07
19000,6189.03,6.666e-07,6.993e-08,9.302e-32,5.967e-07
20000,6378.73,5.038e-07,4.043e-08,6.903e-32,4.633e-07
