epoch,elapsed (s),Loss,IC,BC,F
0,0.16,2.845e+00,2.704e+00,2.615e-33,1.407e-01
100,15.09,1.506e+00,1.455e+00,6.564e-33,5.088e-02
200,30.11,6.862e-01,5.974e-01,1.436e-32,8.878e-02
300,45.02,2.533e-01,1.902e-01,2.178e-32,6.313e-02
400,59.92,7.696e-02,4.949e-02,1.906e-32,2.748e-02
500,74.88,3.629e-02,2.339e-02,1.816e-32,1.290e-02
600,89.77,2.946e-02,2.166e-02,1.832e-32,7.799e-03
700,104.70,2.560e-02,2.001e-02,1.446e-32,5.590e-03
800,119.60,2.556e-02,2.209e-02,1.643e-32,3.473e-03
900,134.57,2.200e-02,1.918e-02,1.808e-32,2.820e-03
1000,149.50,2.147e-02,1.912e-02,2.457e-32,2.349e-03
1100,164.55,2.286e-02,2.093e-02,1.972e-32,1.931e-03
1200,179.51,2.270e-02,2.108e-02,1.775e-32,1.623e-03
1300,194.33,2.297e-02,2.170e-02,1.923e-32,1.273e-03
1400,209.23,2.327e-02,2.216e-02,1.454e-32,1.104e-03
1500,224.31,2.241e-02,2.137e-02,1.545e-32,1.038e-03
1600,239.17,1.882e-02,1.789e-02,1.422e-32,9.273e-04
1700,253.93,2.196e-02,2.121e-02,1.734e-32,7.501e-04
1800,268.64,2.130e-02,2.061e-02,1.759e-32,6.900e-04
1900,283.64,2.241e-02,2.176e-02,1.906e-32,6.531e-04
2000,298.83,1.971e-02,1.911e-02,1.956e-32,6.034e-04
2100,314.04,2.151e-02,2.092e-02,2.038e-32,5.938e-04
2200,329.01,2.082e-02,2.028e-02,1.882e-32,5.440e-04
2300,345.36,2.118e-02,2.064e-02,1.446e-32,5.361e-04
2400,360.51,1.474e-02,1.419e-02,1.192e-32,5.525e-04
2500,375.56,2.037e-02,1.981e-02,1.906e-32,5.623e-04
2600,390.59,1.992e-02,1.940e-02,1.274e-32,5.236e-04
2700,405.57,1.974e-02,1.922e-02,1.717e-32,5.157e-04
2800,420.67,1.954e-02,1.905e-02,2.227e-32,4.962e-04
2900,435.58,1.987e-02,1.933e-02,1.487e-32,5.387e-04
3000,450.58,1.583e-02,1.525e-02,1.849e-32,5.841e-04
3100,465.57,1.536e-02,1.484e-02,1.964e-32,5.275e-04
3200,480.64,1.462e-02,1.401e-02,1.849e-32,6.145e-04
3300,495.67,1.930e-02,1.867e-02,1.783e-32,6.246e-04
3400,510.63,1.909e-02,1.849e-02,2.120e-32,5.997e-04
3500,525.61,1.787e-02,1.719e-02,1.635e-32,6.750e-04
3600,540.74,1.801e-02,1.732e-02,1.759e-32,6.836e-04
3700,556.34,1.685e-02,1.625e-02,1.512e-32,6.039e-04
3800,571.87,1.442e-02,1.367e-02,1.545e-32,7.540e-04
3900,587.10,1.932e-02,1.857e-02,2.145e-32,7.496e-04
4000,602.50,1.644e-02,1.579e-02,2.498e-32,6.509e-04
4100,618.31,1.621e-02,1.547e-02,1.586e-32,7.445e-04
4200,634.00,1.575e-02,1.504e-02,1.356e-32,7.122e-04
4300,649.71,1.796e-02,1.719e-02,1.520e-32,7.683e-04
4400,664.69,1.594e-02,1.507e-02,1.537e-32,8.680e-04
4500,679.60,1.948e-02,1.868e-02,1.660e-32,7.984e-04
4600,694.39,1.761e-02,1.678e-02,1.939e-32,8.302e-04
4700,710.09,2.003e-02,1.911e-02,1.224e-32,9.195e-04
4800,724.72,1.677e-02,1.588e-02,1.931e-32,8.880e-04
4900,739.46,1.817e-02,1.728e-02,2.013e-32,8.917e-04
5000,754.28,1.717e-02,1.618e-02,1.709e-32,9.912e-04
5100,840.63,1.610e-02,1.506e-02,1.750e-32,1.039e-03
5200,855.46,1.849e-02,1.748e-02,2.465e-32,1.006e-03
5300,870.44,1.600e-02,1.488e-02,1.561e-32,1.121e-03
5400,885.80,1.637e-02,1.525e-02,1.898e-32,1.123e-03
5500,900.72,1.446e-02,1.332e-02,1.824e-32,1.138e-03
5600,915.62,1.629e-02,1.504e-02,1.841e-32,1.249e-03
5700,930.65,1.329e-02,1.216e-02,1.602e-32,1.132e-03
5800,945.66,1.754e-02,1.635e-02,3.024e-32,1.187e-03
5900,960.69,1.711e-02,1.593e-02,1.627e-32,1.188e-03
6000,975.78,1.749e-02,1.630e-02,1.586e-32,1.192e-03
6100,990.65,1.627e-02,1.505e-02,1.183e-32,1.214e-03
