epoch,elapsed (s),Loss,IC,BC,F
9000,1358.66,2.399e-06,5.526e-07,2.523e-32,1.847e-06
9100,1374.81,2.590e-06,4.904e-07,2.465e-32,2.100e-06
9200,1391.13,2.242e-06,4.157e-07,2.071e-32,1.826e-06
9300,1406.97,2.110e-06,3.655e-07,2.662e-32,1.745e-06
9400,1421.97,1.936e-06,3.413e-07,2.432e-32,1.595e-06
9500,1436.89,2.103e-06,4.002e-07,2.794e-32,1.703e-06
9600,1451.84,1.769e-06,2.941e-07,2.441e-32,1.475e-06
9700,1466.62,1.820e-06,2.322e-07,1.874e-32,1.588e-06
9800,1482.36,1.873e-06,2.662e-07,2.284e-32,1.607e-06
9900,1498.42,1.572e-06,2.358e-07,2.432e-32,1.336e-06
10000,1513.99,1.510e-06,2.009e-07,3.090e-32,1.309e-06
10100,1530.28,1.373e-06,1.572e-07,2.539e-32,1.216e-06
10200,1546.05,1.427e-06,2.038e-07,3.155e-32,1.223e-06
10300,1561.80,1.351e-06,1.428e-07,3.443e-32,1.208e-06
10400,1609.05,1.153e-06,1.283e-07,2.745e-32,1.025e-06
10500,1624.82,1.248e-06,1.349e-07,2.687e-32,1.114e-06
10600,1640.82,1.158e-06,1.339e-07,2.465e-32,1.024e-06
10700,1657.07,1.073e-06,1.139e-07,2.186e-32,9.587e-07
10800,1671.85,1.127e-06,9.288e-08,2.120e-32,1.034e-06
10900,1686.64,1.053e-06,1.118e-07,3.517e-32,9.417e-07
11000,1701.65,1.079e-06,1.248e-07,2.153e-32,9.544e-07
11100,1716.80,8.636e-07,1.026e-07,2.219e-32,7.610e-07
11200,1731.76,1.104e-06,1.133e-07,2.539e-32,9.910e-07
11300,1746.61,1.476e-06,1.697e-07,2.605e-32,1.306e-06
11400,1761.71,7.444e-07,6.550e-08,2.194e-32,6.789e-07
11500,1777.10,7.952e-07,7.273e-08,2.186e-32,7.225e-07
11600,1792.07,7.245e-07,8.618e-08,1.906e-32,6.384e-07
11700,1806.99,7.567e-07,5.640e-08,2.038e-32,7.003e-07
11800,1821.91,7.932e-07,4.531e-08,2.687e-32,7.479e-07
11900,1836.86,6.034e-07,5.396e-08,3.081e-32,5.494e-07
12000,1852.36,6.993e-07,7.528e-08,2.514e-32,6.240e-07
12100,1867.54,7.066e-07,6.451e-08,2.506e-32,6.421e-07
12200,1882.53,7.366e-07,6.434e-08,2.531e-32,6.723e-07
12300,1897.74,6.056e-07,5.382e-08,2.252e-32,5.518e-07
12400,1912.67,5.518e-07,5.273e-08,2.063e-32,4.990e-07
12500,1927.72,5.300e-07,4.885e-08,2.966e-32,4.812e-07
12600,1942.75,5.546e-07,3.696e-08,1.882e-32,5.177e-07
12700,1958.19,5.074e-07,2.917e-08,3.024e-32,4.782e-07
12800,1973.31,5.159e-07,3.995e-08,2.892e-32,4.759e-07
12900,1989.38,5.028e-07,3.564e-08,2.745e-32,4.672e-07
13000,2005.61,5.405e-07,5.599e-08,2.777e-32,4.846e-07
13100,2020.47,6.019e-07,1.024e-07,2.169e-32,4.995e-07
13200,2035.42,4.084e-07,2.808e-08,2.243e-32,3.804e-07
13300,2050.30,3.807e-07,2.338e-08,2.876e-32,3.573e-07
13400,2065.35,4.574e-07,2.565e-08,2.153e-32,4.318e-07
13500,2080.41,3.583e-07,3.268e-08,3.303e-32,3.257e-07
13600,2095.52,3.981e-07,4.051e-08,2.169e-32,3.576e-07
13700,2110.59,3.422e-07,2.914e-08,2.884e-32,3.130e-07
13800,2125.57,4.922e-07,1.401e-07,2.194e-32,3.521e-07
13900,2140.58,3.259e-07,2.929e-08,2.843e-32,2.966e-07
14000,2155.59,6.561e-07,3.255e-07,3.024e-32,3.306e-07
14100,2170.52,4.030e-07,5.713e-08,2.325e-32,3.459e-07
14200,2185.56,4.327e-07,7.002e-08,2.539e-32,3.627e-07
14300,2200.45,3.720e-07,1.193e-07,2.490e-32,2.528e-07
14400,2215.46,7.153e-07,1.793e-07,1.865e-32,5.360e-07
14500,2230.50,3.441e-07,7.008e-08,2.761e-32,2.740e-07
14600,2245.55,3.943e-07,1.149e-07,2.112e-32,2.794e-07
14700,2260.53,2.998e-07,6.943e-08,1.923e-32,2.303e-07
14800,2275.45,2.567e-07,4.097e-08,1.923e-32,2.157e-07
14900,2290.39,2.785e-07,5.748e-08,2.104e-32,2.211e-07
15000,2305.36,3.481e-07,6.542e-08,2.934e-32,2.827e-07
15100,2320.29,4.361e-07,1.157e-07,2.383e-32,3.204e-07
15200,2335.80,2.042e-07,1.659e-08,2.021e-32,1.876e-07
15300,2350.91,3.906e-07,1.829e-07,1.537e-32,2.077e-07
15400,2365.95,3.205e-07,5.342e-08,3.155e-32,2.671e-07
15500,2380.94,2.939e-07,7.050e-08,1.824e-32,2.234e-07
15600,2396.35,3.948e-07,1.938e-07,2.178e-32,2.010e-07
15700,2411.52,1.926e-07,2.641e-08,1.989e-32,1.661e-07
15800,2426.80,2.444e-07,4.564e-08,3.402e-32,1.988e-07
15900,2441.97,5.633e-07,1.914e-07,2.523e-32,3.719e-07
16000,2457.19,2.455e-07,8.973e-08,3.764e-32,1.558e-07
16100,2472.28,5.199e-07,2.958e-07,2.013e-32,2.240e-07
16200,2487.30,2.394e-07,5.413e-08,1.800e-32,1.853e-07
16300,2502.29,2.695e-07,1.118e-07,2.597e-32,1.577e-07
16400,2517.13,2.139e-07,6.687e-08,3.032e-32,1.471e-07
16500,2532.29,1.625e-07,3.339e-08,2.334e-32,1.291e-07
16600,2547.32,1.933e-07,2.978e-08,2.063e-32,1.635e-07
16700,2562.85,2.763e-07,6.095e-08,2.268e-32,2.154e-07
16800,2578.20,1.604e-07,3.360e-08,2.851e-32,1.268e-07
16900,2594.53,1.680e-07,3.245e-08,1.832e-32,1.356e-07
17000,2611.25,1.818e-07,3.581e-08,1.553e-32,1.460e-07
17100,2626.59,1.530e-07,2.695e-08,2.613e-32,1.260e-07
17200,2641.40,3.577e-07,2.020e-07,3.024e-32,1.557e-07
17300,2656.27,2.456e-07,8.481e-08,2.128e-32,1.608e-07
17400,2671.33,1.776e-07,3.666e-08,2.309e-32,1.409e-07
17500,2686.63,1.498e-07,2.363e-08,2.005e-32,1.261e-07
17600,2701.92,1.521e-07,2.764e-08,2.128e-32,1.245e-07
17700,2717.35,1.769e-07,5.709e-08,2.301e-32,1.198e-07
17800,2732.49,2.192e-07,1.097e-07,2.178e-32,1.096e-07
17900,2747.42,3.501e-07,1.718e-07,2.186e-32,1.783e-07
18000,2762.54,2.377e-07,4.693e-08,2.868e-32,1.908e-07
18100,2777.47,2.173e-07,5.655e-08,2.243e-32,1.608e-07
18200,2792.34,1.981e-07,9.180e-08,2.934e-32,1.063e-07
18300,2807.31,7.072e-07,1.845e-07,2.539e-32,5.227e-07
18400,2822.14,3.415e-07,1.446e-07,2.490e-32,1.969e-07
18500,2837.31,1.734e-07,6.269e-08,2.892e-32,1.107e-07
18600,2852.92,1.825e-07,5.660e-08,2.712e-32,1.259e-07
18700,2868.32,4.092e-07,1.047e-07,1.586e-32,3.045e-07
18800,2883.73,1.219e-07,1.995e-08,2.638e-32,1.020e-07
18900,2900.65,1.519e-07,3.513e-08,2.194e-32,1.168e-07
19000,2916.02,1.174e-07,3.604e-08,1.709e-32,8.138e-08
19100,2932.21,1.278e-07,4.353e-08,3.279e-32,8.423e-08
19200,2948.49,2.406e-07,1.435e-07,2.876e-32,9.711e-08
19300,2966.28,2.845e-07,1.324e-07,1.939e-32,1.521e-07
19400,2985.24,4.559e-07,1.592e-07,2.514e-32,2.967e-07
19500,3002.37,1.230e-07,3.531e-08,2.482e-32,8.774e-08
19600,3017.61,2.588e-07,6.716e-08,2.408e-32,1.916e-07
19700,3032.91,1.688e-07,4.437e-08,3.040e-32,1.244e-07
19800,3048.46,2.782e-07,1.571e-07,2.588e-32,1.211e-07
19900,3063.68,1.874e-07,4.553e-08,2.745e-32,1.419e-07
20000,3080.02,1.056e-07,1.702e-08,2.136e-32,8.859e-08
