epoch,elapsed (s),Loss,IC,BC,F
0,0.18,2.979e+00,2.937e+00,3.533e-33,4.179e-02
100,14.77,1.683e+00,1.669e+00,2.157e-33,1.382e-02
200,29.44,6.031e-01,5.868e-01,5.999e-33,1.634e-02
300,43.88,1.314e-01,1.189e-01,8.628e-33,1.257e-02
400,58.46,2.877e-02,2.164e-02,7.724e-33,7.132e-03
500,73.02,2.056e-02,1.711e-02,8.546e-33,3.455e-03
600,87.61,1.606e-02,1.400e-02,1.118e-32,2.053e-03
700,103.02,1.349e-02,1.167e-02,8.217e-33,1.826e-03
800,120.71,1.291e-02,1.127e-02,8.217e-33,1.642e-03
900,138.72,1.089e-02,9.054e-03,8.875e-33,1.838e-03
1000,157.21,1.105e-02,9.363e-03,1.134e-32,1.691e-03
1100,175.31,9.227e-03,7.368e-03,1.282e-32,1.858e-03
1200,193.29,8.864e-03,6.976e-03,1.093e-32,1.888e-03
1300,208.53,7.380e-03,5.448e-03,1.381e-32,1.932e-03
1400,223.13,6.552e-03,4.647e-03,1.611e-32,1.904e-03
1500,237.83,4.908e-03,3.011e-03,1.167e-32,1.897e-03
1600,252.54,3.549e-03,2.077e-03,2.227e-32,1.472e-03
1700,267.15,3.022e-03,1.867e-03,1.381e-32,1.155e-03
1800,281.56,1.867e-03,9.568e-04,1.479e-32,9.101e-04
1900,296.31,1.237e-03,5.620e-04,1.208e-32,6.755e-04
2000,311.11,8.470e-04,2.751e-04,1.389e-32,5.719e-04
2100,325.78,6.913e-04,1.851e-04,9.039e-33,5.062e-04
2200,341.31,6.350e-04,1.637e-04,1.438e-32,4.713e-04
2300,357.16,5.252e-04,1.064e-04,1.315e-32,4.188e-04
2400,371.45,4.315e-04,8.118e-05,1.364e-32,3.503e-04
2500,385.75,3.995e-04,5.871e-05,8.546e-33,3.408e-04
2600,400.08,3.675e-04,6.415e-05,1.874e-32,3.034e-04
2700,414.43,3.424e-04,6.810e-05,1.528e-32,2.743e-04
2800,428.87,3.216e-04,5.819e-05,9.039e-33,2.634e-04
2900,443.40,3.041e-04,6.532e-05,1.512e-32,2.388e-04
3000,458.09,2.429e-04,4.924e-05,1.652e-32,1.937e-04
3100,472.63,2.443e-04,4.806e-05,1.381e-32,1.963e-04
3200,487.34,2.409e-04,5.707e-05,1.060e-32,1.838e-04
3300,504.09,2.050e-04,5.201e-05,1.643e-32,1.529e-04
3400,521.15,2.151e-04,4.940e-05,1.980e-32,1.657e-04
3500,535.96,1.654e-04,4.435e-05,1.882e-32,1.211e-04
3600,550.44,1.732e-04,4.917e-05,1.561e-32,1.240e-04
3700,564.89,1.438e-04,3.635e-05,1.627e-32,1.075e-04
3800,579.41,1.479e-04,3.979e-05,1.323e-32,1.081e-04
3900,595.31,1.403e-04,3.839e-05,1.397e-32,1.019e-04
4000,609.81,1.116e-04,2.677e-05,1.791e-32,8.480e-05
4100,624.31,1.043e-04,2.698e-05,1.454e-32,7.734e-05
4200,638.66,9.204e-05,2.443e-05,1.890e-32,6.762e-05
4300,653.59,9.420e-05,2.298e-05,1.463e-32,7.122e-05
4400,668.33,8.538e-05,2.259e-05,1.660e-32,6.279e-05
4500,683.05,8.342e-05,2.641e-05,1.224e-32,5.701e-05
4600,698.18,7.154e-05,1.854e-05,2.194e-32,5.300e-05
4700,712.73,7.208e-05,1.881e-05,1.923e-32,5.328e-05
4800,727.17,6.100e-05,1.572e-05,1.709e-32,4.528e-05
4900,741.53,5.983e-05,1.459e-05,1.783e-32,4.524e-05
5000,755.99,5.224e-05,1.268e-05,1.512e-32,3.956e-05
5100,770.65,4.271e-05,7.532e-06,1.389e-32,3.518e-05
5200,785.09,4.691e-05,9.829e-06,1.627e-32,3.708e-05
5300,799.70,3.755e-05,7.459e-06,2.383e-32,3.010e-05
5400,814.35,3.374e-05,5.672e-06,1.660e-32,2.807e-05
5500,828.88,2.896e-05,4.228e-06,1.619e-32,2.473e-05
5600,843.33,2.985e-05,4.263e-06,1.898e-32,2.559e-05
5700,858.15,2.875e-05,3.326e-06,2.046e-32,2.542e-05
5800,872.56,2.568e-05,3.131e-06,1.496e-32,2.255e-05
5900,887.05,2.270e-05,2.391e-06,1.553e-32,2.031e-05
6000,901.45,2.107e-05,1.914e-06,1.767e-32,1.915e-05
6100,916.03,1.889e-05,1.473e-06,1.504e-32,1.742e-05
6200,930.71,1.792e-05,1.406e-06,1.208e-32,1.651e-05
6300,945.08,1.563e-05,1.294e-06,1.479e-32,1.434e-05
6400,959.49,1.434e-05,9.396e-07,1.438e-32,1.340e-05
6500,973.85,1.516e-05,7.173e-07,2.079e-32,1.444e-05
6600,988.26,1.306e-05,6.689e-07,1.594e-32,1.239e-05
6700,1002.69,1.244e-05,5.548e-07,1.192e-32,1.188e-05
6800,1017.14,1.029e-05,5.267e-07,1.339e-32,9.759e-06
6900,1031.52,1.115e-05,4.471e-07,1.627e-32,1.070e-05
7000,1046.04,9.767e-06,4.616e-07,1.824e-32,9.306e-06
7100,1060.44,9.706e-06,3.046e-07,2.136e-32,9.401e-06
7200,1074.86,7.761e-06,3.631e-07,1.446e-32,7.398e-06
7300,1089.22,8.024e-06,3.726e-07,1.553e-32,7.651e-06
7400,1103.84,7.550e-06,3.241e-07,1.635e-32,7.226e-06
7500,1118.49,6.597e-06,2.652e-07,1.307e-32,6.332e-06
7600,1133.14,6.665e-06,3.012e-07,1.331e-32,6.364e-06
7700,1147.73,6.386e-06,3.169e-07,1.528e-32,6.069e-06
7800,1161.99,6.016e-06,3.269e-07,1.874e-32,5.689e-06
7900,1176.60,5.314e-06,2.584e-07,1.200e-32,5.056e-06
8000,1191.07,4.795e-06,1.914e-07,1.635e-32,4.604e-06
8100,1205.74,4.564e-06,2.605e-07,1.890e-32,4.304e-06
8200,1220.31,4.259e-06,2.880e-07,1.454e-32,3.971e-06
8300,1234.79,4.126e-06,2.106e-07,1.956e-32,3.915e-06
8400,1249.29,3.623e-06,2.274e-07,1.750e-32,3.396e-06
8500,1263.94,3.516e-06,1.989e-07,1.849e-32,3.317e-06
8600,1278.72,3.201e-06,2.148e-07,9.368e-33,2.986e-06
8700,1293.09,3.376e-06,1.713e-07,2.597e-32,3.204e-06
8800,1307.57,2.909e-06,2.365e-07,2.260e-32,2.673e-06
8900,1322.83,2.860e-06,2.278e-07,1.586e-32,2.632e-06
9000,1339.67,2.763e-06,1.661e-07,1.923e-32,2.597e-06
9100,1354.24,2.594e-06,2.566e-07,9.368e-33,2.337e-06
9200,1368.79,2.572e-06,1.648e-07,1.504e-32,2.407e-06
9300,1383.19,2.382e-06,2.067e-07,1.504e-32,2.176e-06
9400,1397.54,2.305e-06,2.056e-07,1.948e-32,2.099e-06
9500,1411.96,2.217e-06,2.092e-07,1.265e-32,2.007e-06
9600,1426.35,2.169e-06,2.269e-07,2.186e-32,1.942e-06
9700,1440.81,1.844e-06,1.882e-07,1.372e-32,1.656e-06
9800,1455.59,1.775e-06,1.963e-07,1.791e-32,1.578e-06
9900,1470.08,1.670e-06,2.007e-07,1.463e-32,1.469e-06
10000,1485.13,1.846e-06,2.049e-07,1.372e-32,1.641e-06
10100,1499.80,1.604e-06,1.558e-07,1.504e-32,1.448e-06
10200,1514.46,1.571e-06,1.751e-07,1.570e-32,1.395e-06
10300,1529.16,1.652e-06,2.105e-07,2.095e-32,1.441e-06
10400,1543.65,1.576e-06,2.388e-07,1.545e-32,1.338e-06
10500,1558.27,1.388e-06,1.698e-07,1.216e-32,1.218e-06
10600,1572.79,1.269e-06,1.653e-07,1.857e-32,1.104e-06
10700,1587.49,1.460e-06,2.699e-07,1.619e-32,1.190e-06
10800,1603.30,1.143e-06,1.459e-07,1.249e-32,9.975e-07
10900,1618.76,1.183e-06,2.082e-07,2.358e-32,9.744e-07
11000,1635.81,1.075e-06,1.836e-07,1.471e-32,8.919e-07
11100,1651.08,1.156e-06,1.719e-07,1.339e-32,9.842e-07
11200,1666.39,1.041e-06,2.150e-07,1.192e-32,8.260e-07
11300,1681.43,1.330e-06,1.885e-07,2.465e-32,1.142e-06
11400,1696.59,1.209e-06,2.183e-07,1.734e-32,9.906e-07
11500,1711.08,1.071e-06,2.472e-07,1.570e-32,8.243e-07
11600,1726.50,9.657e-07,1.910e-07,1.734e-32,7.748e-07
11700,1741.58,1.024e-06,2.025e-07,2.104e-32,8.213e-07
11800,1756.67,8.997e-07,2.532e-07,1.857e-32,6.465e-07
11900,1771.05,1.036e-06,2.173e-07,1.882e-32,8.185e-07
12000,1785.41,8.353e-07,1.766e-07,1.282e-32,6.587e-07
12100,1799.90,8.378e-07,2.134e-07,1.389e-32,6.244e-07
12200,1814.24,9.002e-07,2.095e-07,1.693e-32,6.907e-07
12300,1828.61,9.516e-07,2.364e-07,1.619e-32,7.152e-07
12400,1843.01,6.752e-07,1.665e-07,1.643e-32,5.087e-07
12500,1857.38,7.139e-07,2.010e-07,1.832e-32,5.128e-07
12600,1871.77,8.375e-07,2.183e-07,1.643e-32,6.193e-07
12700,1886.18,6.679e-07,1.625e-07,1.512e-32,5.055e-07
12800,1900.58,7.468e-07,1.890e-07,1.972e-32,5.578e-07
12900,1915.07,6.165e-07,1.532e-07,1.619e-32,4.633e-07
13000,1930.97,6.661e-07,2.555e-07,1.742e-32,4.106e-07
13100,1947.15,1.071e-06,2.473e-07,1.257e-32,8.241e-07
13200,1962.56,8.364e-07,3.402e-07,1.742e-32,4.962e-07
13300,1977.13,6.156e-07,1.864e-07,1.693e-32,4.292e-07
13400,1991.61,5.901e-07,1.972e-07,1.709e-32,3.929e-07
13500,2006.24,5.071e-07,1.427e-07,1.767e-32,3.645e-07
13600,2020.89,5.209e-07,1.623e-07,1.627e-32,3.586e-07
13700,2036.32,5.876e-07,1.409e-07,1.931e-32,4.468e-07
13800,2050.58,5.595e-07,1.985e-07,1.767e-32,3.610e-07
13900,2065.23,4.864e-07,1.629e-07,1.348e-32,3.235e-07
14000,2079.51,1.268e-06,3.400e-07,1.446e-32,9.279e-07
14100,2199.16,7.622e-07,3.269e-07,1.660e-32,4.352e-07
14200,2213.97,5.070e-07,2.133e-07,1.931e-32,2.938e-07
14300,2228.74,4.958e-07,1.913e-07,1.504e-32,3.045e-07
14400,2243.71,6.834e-07,2.110e-07,1.233e-32,4.724e-07
14500,2258.51,4.467e-07,1.557e-07,1.602e-32,2.910e-07
14600,2273.89,7.024e-07,2.651e-07,1.570e-32,4.373e-07
14700,2288.60,4.558e-07,2.094e-07,1.233e-32,2.464e-07
14800,2303.25,5.309e-07,2.477e-07,1.997e-32,2.832e-07
14900,2317.92,6.287e-07,2.700e-07,1.602e-32,3.587e-07
15000,2332.28,3.609e-07,1.236e-07,1.923e-32,2.373e-07
15100,2346.84,4.599e-07,2.106e-07,1.578e-32,2.492e-07
15200,2361.23,9.744e-07,5.286e-07,1.233e-32,4.459e-07
15300,2375.68,6.235e-07,3.047e-07,1.348e-32,3.188e-07
15400,2390.20,5.233e-07,2.645e-07,1.274e-32,2.588e-07
15500,2405.38,3.808e-07,1.346e-07,1.882e-32,2.461e-07
15600,2420.41,4.594e-07,1.368e-07,2.120e-32,3.226e-07
15700,2435.03,5.552e-07,2.443e-07,2.178e-32,3.109e-07
15800,2449.65,5.430e-07,1.706e-07,2.013e-32,3.724e-07
15900,2464.77,7.114e-07,5.020e-07,1.528e-32,2.094e-07
16000,2479.41,3.986e-07,1.185e-07,1.997e-32,2.801e-07
16100,2494.32,6.237e-07,4.185e-07,1.619e-32,2.052e-07
16200,2508.73,6.686e-07,4.649e-07,1.504e-32,2.038e-07
16300,2523.08,5.040e-07,2.037e-07,2.547e-32,3.003e-07
16400,2537.59,4.180e-07,2.163e-07,1.586e-32,2.017e-07
16500,2552.13,6.479e-07,3.676e-07,1.249e-32,2.803e-07
16600,2566.69,3.323e-07,1.452e-07,2.104e-32,1.872e-07
16700,2581.56,3.796e-07,1.461e-07,1.331e-32,2.335e-07
16800,2596.31,4.255e-07,1.897e-07,1.865e-32,2.357e-07
16900,2610.66,5.663e-07,3.505e-07,1.759e-32,2.158e-07
17000,2625.21,3.814e-07,1.557e-07,1.594e-32,2.257e-07
17100,2639.72,3.837e-07,1.284e-07,1.898e-32,2.553e-07
17200,2654.09,2.763e-07,1.257e-07,1.619e-32,1.506e-07
17300,2668.93,2.678e-07,1.109e-07,2.243e-32,1.569e-07
17400,2683.34,3.123e-07,1.586e-07,1.759e-32,1.537e-07
17500,2697.77,2.490e-07,1.047e-07,2.999e-32,1.443e-07
17600,2712.19,2.460e-07,9.102e-08,9.696e-33,1.550e-07
17700,2726.53,2.802e-07,1.259e-07,1.726e-32,1.543e-07
17800,2741.29,2.500e-07,1.028e-07,2.235e-32,1.472e-07
17900,2756.01,2.885e-07,1.335e-07,2.136e-32,1.551e-07
18000,2771.28,2.678e-07,1.036e-07,1.956e-32,1.642e-07
18100,2786.49,3.820e-07,2.367e-07,1.726e-32,1.452e-07
18200,2801.17,2.370e-07,1.039e-07,1.471e-32,1.331e-07
18300,2816.03,2.482e-07,1.078e-07,9.203e-33,1.404e-07
18400,2831.19,2.686e-07,1.289e-07,1.824e-32,1.397e-07
18500,2846.14,2.394e-07,1.043e-07,1.602e-32,1.351e-07
18600,2860.59,2.366e-07,9.379e-08,1.816e-32,1.428e-07
18700,2875.18,2.462e-07,1.131e-07,1.791e-32,1.331e-07
18800,2889.71,2.394e-07,1.000e-07,1.405e-32,1.394e-07
18900,2904.10,2.401e-07,1.081e-07,1.594e-32,1.320e-07
19000,2918.62,2.320e-07,1.000e-07,1.085e-32,1.319e-07
19100,2933.21,2.594e-07,1.236e-07,2.112e-32,1.358e-07
19200,2947.76,2.554e-07,1.278e-07,1.463e-32,1.276e-07
19300,2962.30,2.581e-07,1.262e-07,1.750e-32,1.319e-07
19400,2977.04,2.348e-07,1.070e-07,2.334e-32,1.277e-07
19500,2991.69,2.489e-07,1.104e-07,1.512e-32,1.386e-07
19600,3006.27,2.311e-07,1.000e-07,1.841e-32,1.311e-07
19700,3020.87,2.118e-07,9.109e-08,1.824e-32,1.207e-07
19800,3035.40,2.255e-07,1.005e-07,1.734e-32,1.250e-07
19900,3049.87,2.093e-07,9.248e-08,1.783e-32,1.168e-07
