Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
cc,40-4,10538,3.071177e-02,2.861873e-02,2.093037e-03
cc,40-7,20378,2.456342e-02,2.456341e-02,7.892253e-09
cc,80-4,40218,2.456341e-02,2.456341e-02,3.357797e-09
