Model,Size,Trainable parameters,Loss,Boundary loss,PDE loss
ci,40-4-2,5450,2.698011e-01,2.361447e-01,3.365645e-02
ci,40-7-2,10370,1.711334e-01,1.669118e-01,4.221636e-03
ci,80-4-2,20330,1.298818e-01,1.079805e-01,2.190131e-02
