epoch,elapsed (s),Loss,IC,BC,F
0,0.20,5.083e+00,5.051e+00,4.206e-33,3.188e-02
100,18.48,3.622e+00,3.610e+00,2.977e-33,1.202e-02
200,36.58,2.286e+00,2.280e+00,4.612e-33,5.967e-03
300,55.10,8.908e-01,8.812e-01,1.000e-32,9.572e-03
400,73.81,2.670e-01,2.542e-01,1.216e-32,1.273e-02
500,91.77,6.881e-02,6.315e-02,1.717e-32,5.661e-03
600,110.31,2.534e-02,2.226e-02,1.874e-32,3.081e-03
700,128.51,1.861e-02,1.597e-02,1.265e-32,2.648e-03
800,146.32,2.339e-02,2.123e-02,1.980e-32,2.167e-03
900,164.07,1.810e-02,1.639e-02,1.109e-32,1.715e-03
1000,182.40,1.855e-02,1.704e-02,1.364e-32,1.503e-03
1100,200.60,1.966e-02,1.830e-02,1.233e-32,1.362e-03
1200,219.92,1.727e-02,1.608e-02,1.471e-32,1.185e-03
1300,239.90,1.699e-02,1.582e-02,1.939e-32,1.171e-03
1400,259.92,1.641e-02,1.523e-02,1.643e-32,1.175e-03
1500,280.08,1.915e-02,1.804e-02,1.463e-32,1.110e-03
1600,300.44,1.746e-02,1.634e-02,1.627e-32,1.114e-03
1700,319.81,1.534e-02,1.427e-02,1.454e-32,1.065e-03
1800,338.35,1.803e-02,1.695e-02,1.964e-32,1.075e-03
1900,356.55,1.916e-02,1.793e-02,1.997e-32,1.228e-03
2000,374.72,1.459e-02,1.330e-02,1.775e-32,1.287e-03
2100,392.69,1.844e-02,1.697e-02,1.800e-32,1.471e-03
2200,410.93,1.917e-02,1.792e-02,1.956e-32,1.250e-03
2300,429.47,1.715e-02,1.566e-02,1.413e-32,1.489e-03
2400,447.64,1.754e-02,1.595e-02,1.372e-32,1.593e-03
2500,465.60,1.677e-02,1.500e-02,1.602e-32,1.773e-03
2600,483.88,1.485e-02,1.307e-02,1.709e-32,1.779e-03
2700,502.25,1.282e-02,1.085e-02,1.233e-32,1.977e-03
2800,520.59,1.443e-02,1.234e-02,1.364e-32,2.089e-03
2900,540.69,1.399e-02,1.195e-02,2.128e-32,2.043e-03
3000,560.59,1.256e-02,1.032e-02,1.906e-32,2.242e-03
3100,578.47,1.450e-02,1.205e-02,1.463e-32,2.447e-03
3200,596.23,1.385e-02,1.119e-02,1.627e-32,2.661e-03
3300,614.19,1.334e-02,1.075e-02,1.890e-32,2.587e-03
3400,632.31,1.381e-02,1.096e-02,1.627e-32,2.845e-03
3500,650.16,1.175e-02,8.807e-03,2.597e-32,2.942e-03
3600,668.10,9.350e-03,6.537e-03,1.857e-32,2.813e-03
3700,685.67,1.135e-02,8.898e-03,1.759e-32,2.456e-03
3800,703.41,9.617e-03,7.076e-03,2.350e-32,2.541e-03
3900,721.13,8.228e-03,5.471e-03,2.013e-32,2.756e-03
