epoch,elapsed (s),Loss,IC,BC,F
8100,29.01,5.4492e-04,8.7966e-05,3.1824e-04,1.3872e-04
8200,29.36,4.5956e-04,9.6882e-05,2.2883e-04,1.3385e-04
8300,29.69,5.1479e-04,1.0903e-04,2.8817e-04,1.1759e-04
8400,30.01,5.6947e-04,1.0271e-04,3.4916e-04,1.1760e-04
8500,30.35,5.3564e-04,1.9114e-04,2.1665e-04,1.2785e-04
8600,30.69,4.8755e-04,1.0044e-04,2.4233e-04,1.4479e-04
8700,31.02,8.4901e-04,2.0175e-04,5.1811e-04,1.2916e-04
8800,31.37,4.5922e-04,1.0011e-04,2.2589e-04,1.3323e-04
8900,31.72,4.1502e-04,1.1973e-04,1.7892e-04,1.1637e-04
9000,32.10,4.6423e-04,9.6795e-05,2.2737e-04,1.4006e-04
9100,32.48,3.8879e-04,1.1051e-04,1.4442e-04,1.3387e-04
9200,32.84,5.2532e-04,1.6087e-04,2.4286e-04,1.2158e-04
9300,33.19,5.5481e-04,7.3116e-05,3.6124e-04,1.2045e-04
9400,33.56,5.0817e-04,1.3114e-04,2.5062e-04,1.2642e-04
9500,33.90,5.7195e-04,8.1054e-05,3.5715e-04,1.3374e-04
9600,34.25,6.7296e-04,1.3361e-04,4.1273e-04,1.2662e-04
9700,34.60,6.5131e-04,1.9522e-04,3.0115e-04,1.5494e-04
9800,34.98,7.1064e-04,2.1623e-04,3.5910e-04,1.3531e-04
9900,35.40,5.4548e-04,1.2559e-04,2.8441e-04,1.3548e-04
10000,35.74,4.7074e-04,1.0554e-04,1.9751e-04,1.6769e-04
10100,36.16,6.2545e-04,1.7656e-04,3.1416e-04,1.3473e-04
10200,36.62,3.4272e-04,6.8161e-05,1.0879e-04,1.6577e-04
10300,36.98,4.7644e-04,1.1064e-04,2.3727e-04,1.2853e-04
10400,37.31,3.7211e-04,1.0240e-04,1.3560e-04,1.3411e-04
10500,37.64,3.6281e-04,8.6823e-05,1.4470e-04,1.3129e-04
10600,37.98,4.5559e-04,7.5471e-05,2.6773e-04,1.1239e-04
10700,38.32,3.0691e-04,7.3444e-05,1.1847e-04,1.1500e-04
10800,38.65,4.0644e-04,6.9592e-05,2.1115e-04,1.2570e-04
10900,38.99,3.8911e-04,1.0486e-04,1.6048e-04,1.2377e-04
11000,39.33,4.3252e-04,7.2415e-05,2.4645e-04,1.1366e-04
11100,39.68,4.1100e-04,7.1477e-05,2.1671e-04,1.2281e-04
11200,40.04,3.9020e-04,9.4721e-05,1.6610e-04,1.2938e-04
11300,40.55,3.9836e-04,4.2238e-05,2.4165e-04,1.1448e-04
11400,40.94,3.5875e-04,6.1165e-05,1.7812e-04,1.1947e-04
11500,41.29,4.6434e-04,4.3975e-05,2.9693e-04,1.2344e-04
11600,41.63,2.9418e-04,6.5932e-05,1.0482e-04,1.2343e-04
11700,41.98,3.1371e-04,6.8168e-05,1.2756e-04,1.1798e-04
11800,42.32,2.9897e-04,5.5100e-05,1.2422e-04,1.1964e-04
11900,42.66,3.2357e-04,4.8812e-05,1.7074e-04,1.0402e-04
12000,43.00,2.7528e-04,5.8811e-05,8.9460e-05,1.2701e-04
12100,43.35,3.7244e-04,9.7864e-05,1.7206e-04,1.0251e-04
12200,43.70,2.4267e-04,4.6048e-05,7.6684e-05,1.1993e-04
12300,44.05,2.9111e-04,5.3765e-05,1.3016e-04,1.0719e-04
12400,44.41,2.5076e-04,4.8562e-05,9.1250e-05,1.1095e-04
12500,44.76,2.3692e-04,5.4919e-05,8.3821e-05,9.8179e-05
12600,45.11,2.6337e-04,6.9208e-05,9.4810e-05,9.9356e-05
12700,45.45,1.9617e-04,4.2185e-05,5.6029e-05,9.7959e-05
12800,45.79,3.3372e-04,6.9966e-05,1.7014e-04,9.3617e-05
12900,46.13,2.7003e-04,8.1656e-05,9.3584e-05,9.4787e-05
13000,46.47,2.3860e-04,3.3289e-05,1.2398e-04,8.1333e-05
13100,46.81,1.7783e-04,2.8911e-05,6.6221e-05,8.2700e-05
13200,47.15,1.8278e-04,3.2485e-05,6.5977e-05,8.4322e-05
13300,47.49,1.7783e-04,3.3334e-05,7.4120e-05,7.0372e-05
13400,47.83,1.5056e-04,2.9975e-05,5.4823e-05,6.5766e-05
13500,48.17,1.3779e-04,2.4264e-05,6.4154e-05,4.9371e-05
13600,48.51,1.0191e-04,1.8266e-05,3.8740e-05,4.4908e-05
13700,48.85,1.3252e-04,2.0531e-05,5.8378e-05,5.3609e-05
13800,49.20,1.0002e-04,1.6478e-05,4.2569e-05,4.0971e-05
13900,49.54,7.7522e-05,1.6380e-05,2.1149e-05,3.9993e-05
14000,49.88,1.1959e-04,5.6525e-05,2.8311e-05,3.4751e-05
14100,50.23,6.4859e-05,1.4484e-05,2.0358e-05,3.0018e-05
14200,50.57,5.4799e-05,9.1026e-06,1.9573e-05,2.6123e-05
14300,50.92,5.9496e-05,1.8951e-05,1.8087e-05,2.2458e-05
14400,51.27,4.1436e-05,6.3994e-06,1.4003e-05,2.1034e-05
14500,51.61,3.6766e-05,6.1424e-06,8.7835e-06,2.1840e-05
14600,51.96,2.5535e-05,5.0508e-06,5.4326e-06,1.5051e-05
14700,52.29,2.7424e-05,6.3682e-06,5.4993e-06,1.5557e-05
14800,52.62,2.1054e-05,5.0033e-06,4.7132e-06,1.1337e-05
14900,52.96,1.8932e-05,2.4169e-06,4.7681e-06,1.1747e-05
15000,53.29,1.8347e-05,3.1558e-06,5.0419e-06,1.0149e-05
15100,53.65,1.9960e-05,4.2735e-06,5.0168e-06,1.0670e-05
15200,54.04,1.9232e-05,4.9166e-06,6.3512e-06,7.9644e-06
15300,54.38,1.7962e-05,7.6770e-06,2.2765e-06,8.0089e-06
15400,54.71,1.1133e-05,2.1640e-06,2.1462e-06,6.8229e-06
15500,55.05,1.2867e-05,1.9749e-06,4.0839e-06,6.8087e-06
15600,55.39,1.5534e-05,1.7017e-06,8.1258e-06,5.7067e-06
15700,55.74,8.9469e-06,1.1472e-06,2.4091e-06,5.3907e-06
15800,56.09,1.2744e-05,4.4250e-06,1.5254e-06,6.7934e-06
15900,56.44,8.9411e-06,1.4382e-06,2.6110e-06,4.8919e-06
16000,56.79,8.6436e-06,3.1367e-06,1.0260e-06,4.4809e-06
16100,57.13,9.9279e-06,3.0295e-06,2.9320e-06,3.9664e-06
16200,57.47,4.8072e-06,8.9488e-07,6.7659e-07,3.2357e-06
16300,57.81,1.7738e-05,1.1195e-05,2.2015e-06,4.3418e-06
16400,58.14,6.0906e-06,7.3341e-07,1.4416e-06,3.9156e-06
16500,58.47,8.8345e-06,3.7694e-06,1.7991e-06,3.2661e-06
16600,58.83,5.3955e-06,5.9589e-07,5.7486e-07,4.2248e-06
16700,59.18,6.6722e-06,1.4832e-06,2.2472e-06,2.9418e-06
16800,59.51,4.9700e-06,1.2146e-06,8.4264e-07,2.9128e-06
16900,59.85,1.1182e-05,6.3630e-06,1.6340e-06,3.1854e-06
17000,60.18,6.5950e-06,1.5369e-06,1.1200e-06,3.9381e-06
17100,60.59,4.7316e-06,2.0804e-06,5.0039e-07,2.1508e-06
17200,60.94,4.1668e-06,4.0170e-07,1.5896e-06,2.1756e-06
17300,61.27,4.0757e-06,1.3114e-06,5.3505e-07,2.2292e-06
17400,61.65,3.2124e-06,4.5898e-07,7.7784e-07,1.9756e-06
17500,62.00,4.1701e-06,1.9863e-06,3.5440e-07,1.8294e-06
17600,62.34,1.1722e-05,6.6460e-06,2.8533e-06,2.2232e-06
17700,62.68,4.7641e-06,2.1990e-06,5.0530e-07,2.0598e-06
17800,63.04,3.5793e-06,1.3694e-06,3.5039e-07,1.8595e-06
17900,63.37,3.7692e-06,1.2960e-06,7.4641e-07,1.7269e-06
18000,63.70,4.1420e-06,1.7499e-06,6.1846e-07,1.7736e-06
18100,64.03,5.2415e-06,3.3677e-06,3.2424e-07,1.5495e-06
18200,64.37,5.3230e-06,3.1851e-06,4.9764e-07,1.6403e-06
18300,64.71,7.7702e-06,3.9764e-06,2.1239e-06,1.6699e-06
18400,65.05,3.1928e-06,5.7962e-07,1.0873e-06,1.5259e-06
18500,65.38,4.0120e-06,9.7965e-07,1.3680e-06,1.6643e-06
18600,65.72,6.0412e-06,2.6668e-06,1.8948e-06,1.4796e-06
18700,66.10,2.6280e-06,8.8543e-07,4.3301e-07,1.3096e-06
18800,66.45,5.3114e-06,9.5699e-07,3.0166e-06,1.3378e-06
18900,66.82,3.8912e-06,1.0668e-06,1.1968e-06,1.6276e-06
19000,67.16,2.5500e-06,2.8577e-07,9.9375e-07,1.2704e-06
19100,67.52,3.6713e-06,4.0476e-07,1.5169e-06,1.7497e-06
19200,67.88,1.3185e-05,1.0359e-05,7.0359e-07,2.1218e-06
19300,68.24,2.2520e-06,6.0144e-07,5.4602e-07,1.1046e-06
19400,68.61,8.1334e-06,5.8479e-06,1.0280e-06,1.2574e-06
19500,68.96,2.0796e-06,1.9902e-07,6.6363e-07,1.2170e-06
19600,69.30,3.2120e-06,1.8221e-06,3.6516e-07,1.0247e-06
19700,69.65,1.9285e-05,1.2221e-05,4.8523e-06,2.2115e-06
19800,69.99,6.4474e-06,4.2895e-06,9.3398e-07,1.2239e-06
19900,70.34,4.2151e-06,2.4667e-06,8.6929e-07,8.7911e-07
20000,70.71,2.2232e-06,9.4148e-07,4.7091e-07,8.1084e-07
