epoch,elapsed (s),Loss,IC,BC,F
0,0.02,3.9275e+00,3.9256e+00,6.2428e-05,1.8392e-03
1000,13.03,1.7491e-02,1.6686e-02,4.6991e-04,3.3503e-04
2000,27.78,8.9298e-03,5.1826e-03,2.2677e-03,1.4795e-03
3000,43.13,3.1051e-03,6.8465e-04,1.4077e-03,1.0127e-03
4000,58.42,9.9588e-04,1.7451e-04,5.3149e-04,2.8987e-04
5000,73.79,5.3798e-04,1.8594e-04,1.8323e-04,1.6882e-04
6000,90.79,6.1809e-04,9.5908e-05,4.0495e-04,1.1723e-04
7000,107.11,1.7054e-04,4.5101e-05,6.6925e-05,5.8515e-05
8000,122.77,6.9969e-05,1.9543e-05,2.5041e-05,2.5386e-05
9000,138.54,2.7550e-05,5.3977e-06,9.8965e-06,1.2256e-05
10000,154.20,1.4602e-05,1.7867e-06,5.9547e-06,6.8606e-06
11000,167.79,7.0636e-06,1.2203e-06,1.9225e-06,3.9208e-06
12000,180.63,6.7199e-06,1.8109e-06,2.3146e-06,2.5944e-06
13000,193.45,1.1088e-05,2.5951e-06,6.3087e-06,2.1839e-06
14000,206.39,6.7221e-06,3.3047e-06,2.1322e-06,1.2852e-06
15000,219.27,2.1083e-06,6.3741e-07,4.7222e-07,9.9864e-07
16000,231.64,2.9706e-06,1.2156e-06,9.7226e-07,7.8272e-07
17000,243.94,2.1036e-06,3.7375e-07,1.0510e-06,6.7886e-07
18000,255.89,1.4971e-06,5.9921e-07,3.7366e-07,5.2421e-07
19000,267.89,1.3030e-06,4.6264e-07,3.6133e-07,4.7898e-07
20000,279.88,5.9035e-06,2.0283e-06,3.4417e-06,4.3350e-07
