epoch,elapsed (s),Loss,IC,BC,F
0,0.04,8.987e+00,3.141e+00,5.832e+00,1.361e-02
1000,2.63,4.822e-02,3.642e-02,9.658e-03,2.139e-03
2000,5.23,4.555e-02,3.325e-02,9.464e-03,2.841e-03
3000,7.92,4.229e-02,2.938e-02,8.933e-03,3.975e-03
4000,10.60,3.039e-02,2.115e-02,6.087e-03,3.145e-03
5000,13.17,1.482e-02,9.915e-03,2.651e-03,2.255e-03
6000,15.72,1.006e-02,6.912e-03,1.063e-03,2.080e-03
7000,18.24,8.759e-03,6.511e-03,8.877e-04,1.361e-03
8000,20.78,8.297e-03,6.458e-03,7.853e-04,1.054e-03
9000,23.31,7.783e-03,6.392e-03,6.925e-04,6.982e-04
10000,25.82,7.422e-03,6.057e-03,6.695e-04,6.949e-04
11000,28.35,6.294e-03,5.217e-03,5.314e-04,5.458e-04
12000,30.86,4.876e-03,4.042e-03,4.400e-04,3.946e-04
13000,33.43,4.141e-03,3.333e-03,4.195e-04,3.886e-04
14000,35.95,3.515e-03,2.893e-03,3.412e-04,2.808e-04
15000,38.46,3.096e-03,2.508e-03,3.168e-04,2.715e-04
16000,40.95,2.464e-03,1.962e-03,2.982e-04,2.038e-04
17000,43.50,1.638e-03,1.326e-03,1.948e-04,1.164e-04
18000,46.13,1.169e-03,9.877e-04,7.032e-05,1.109e-04
19000,48.97,8.788e-04,7.617e-04,2.345e-05,9.368e-05
20000,51.53,6.523e-04,5.960e-04,8.238e-06,4.802e-05
